Date,Amount
4/8/2019,186.5
4/9/2019,187.190002
4/10/2019,186.190002
4/11/2019,184.979996
4/12/2019,188.910004
4/15/2019,183.070007
4/16/2019,185.779999
4/17/2019,187.550003
4/18/2019,186.940002
4/22/2019,185.380005
4/23/2019,187.289993
4/24/2019,185.669998
4/25/2019,187.880005
4/26/2019,187.089996
4/29/2019,186.940002
4/30/2019,185.570007
5/1/2019,189.309998
5/2/2019,190.389999
5/3/2019,195.210007
5/6/2019,188.240005
5/7/2019,181.429993
5/8/2019,179.589996
5/9/2019,179.039993
5/10/2019,178
5/13/2019,170.009995
5/14/2019,174.839996
5/15/2019,177.600006
5/16/2019,175.570007
5/17/2019,169.570007
5/20/2019,160.649994
5/21/2019,163.429993
5/22/2019,158.830002
5/23/2019,156
5/24/2019,155
5/28/2019,154.809998
5/29/2019,152.479996
5/30/2019,151.070007
5/31/2019,149.259995
6/3/2019,149.910004
6/4/2019,154.149994
6/5/2019,151.649994
6/6/2019,151.5
6/7/2019,154.229996
6/10/2019,159.850006
6/11/2019,162.649994
6/12/2019,160.039993
6/13/2019,160.330002
6/14/2019,158.100006
6/17/2019,159.910004
6/18/2019,165.509995
6/19/2019,165.460007
6/20/2019,168.25
6/21/2019,167.550003
6/24/2019,168.100006
6/25/2019,165.800003
6/26/2019,168.990005
6/27/2019,170.899994
6/28/2019,169.449997
7/1/2019,175.050003
7/2/2019,175.449997
7/3/2019,174.669998
7/5/2019,173.300003
7/8/2019,168.449997
7/9/2019,168.800003
7/10/2019,166.929993
7/11/2019,166.550003
7/12/2019,169.070007
7/15/2019,173.5
7/16/2019,174.190002
7/17/2019,174.820007
7/18/2019,172.800003
7/19/2019,172.990005
7/22/2019,174
7/23/2019,178.089996
7/24/2019,178.669998
7/25/2019,177.289993
7/26/2019,178.740005
7/29/2019,177.020004
7/30/2019,174.100006
7/31/2019,173.110001
8/1/2019,165.649994
8/2/2019,161
8/5/2019,153.669998
8/6/2019,157.429993
8/7/2019,159.169998
8/8/2019,162.220001
8/9/2019,159.119995
8/12/2019,159.309998
8/13/2019,164.029999
8/14/2019,162.059998
8/15/2019,166.970001
8/16/2019,174.600006
8/19/2019,178.279999
8/20/2019,177.210007
8/21/2019,175.240005
8/22/2019,171.910004
8/23/2019,164.539993
8/26/2019,165.899994
8/27/2019,166.199997
8/28/2019,167.479996
8/29/2019,172.809998
8/30/2019,175.029999
9/3/2019,172.410004
9/4/2019,174.330002
9/5/2019,178.940002
9/6/2019,176.690002
9/9/2019,177.779999
9/10/2019,174.990005
9/11/2019,176.089996
9/12/2019,178.240005
9/13/2019,179.169998
9/16/2019,177.070007
9/17/2019,179
9/18/2019,180
9/19/2019,180.460007
9/20/2019,182.509995
9/23/2019,176.979996
9/24/2019,171.550003
9/25/2019,176.660004
9/26/2019,175
9/27/2019,165.979996
9/30/2019,167.229996
10/1/2019,165.149994
10/2/2019,165.770004
10/3/2019,169.479996
10/4/2019,170.339996
10/7/2019,168.320007
10/8/2019,161.929993
10/9/2019,165.190002
10/10/2019,166.070007
10/11/2019,172.940002
