Date,Amount
4/8/2019,61.290001
4/9/2019,60.919998
4/10/2019,61.470001
4/11/2019,60.790001
4/12/2019,61.419998
4/15/2019,61.709999
4/16/2019,62.209999
4/17/2019,61.540001
4/18/2019,61.16
4/23/2019,62
4/24/2019,60.200001
4/25/2019,61.040001
4/26/2019,61.540001
4/29/2019,59.380001
4/30/2019,59.34
5/2/2019,61.57
5/3/2019,61.869999
5/6/2019,61.130001
5/7/2019,59.610001
5/8/2019,59.650002
5/9/2019,57.07
5/10/2019,57.540001
5/13/2019,56.470001
5/14/2019,55.330002
5/15/2019,56.450001
5/16/2019,57.290001
5/17/2019,56.950001
5/20/2019,55.799999
5/21/2019,56.07
5/22/2019,55.849998
5/23/2019,54.209999
5/24/2019,53.900002
5/27/2019,54.669998
5/28/2019,55.43
5/29/2019,53.91
5/30/2019,54.299999
5/31/2019,52.82
6/3/2019,53.880001
6/4/2019,54.5
6/5/2019,53.98
6/6/2019,53.290001
6/7/2019,52.869999
6/11/2019,53.849998
6/12/2019,53.310001
6/13/2019,53.630001
6/14/2019,52.849998
6/17/2019,52.529999
6/18/2019,54.07
6/19/2019,55.029999
6/20/2019,55.490002
6/21/2019,54.82
6/24/2019,55.34
6/25/2019,55.32
6/26/2019,55.990002
6/27/2019,60.860001
6/28/2019,60.939999
7/1/2019,61.310001
7/2/2019,60.529999
7/3/2019,61.009998
7/4/2019,60.919998
7/5/2019,60.709999
7/8/2019,60.029999
7/9/2019,59.799999
7/10/2019,59.509998
7/11/2019,59.139999
7/12/2019,58.830002
7/15/2019,58.630001
7/16/2019,59.080002
7/17/2019,59.009998
7/18/2019,58.759998
7/19/2019,59.549999
7/22/2019,59.599998
7/23/2019,60.990002
7/24/2019,60.099998
7/25/2019,59.18
7/26/2019,59.900002
7/29/2019,59.330002
7/30/2019,57.16
7/31/2019,58.75
8/1/2019,60.25
8/2/2019,58
8/5/2019,55.830002
8/6/2019,55.5
8/7/2019,58.84
8/8/2019,62.970001
8/9/2019,64.629997
8/12/2019,63.759998
8/13/2019,64.959999
8/14/2019,63.919998
8/15/2019,62.98
8/16/2019,64.610001
8/19/2019,66.300003
8/20/2019,66
8/21/2019,67.230003
8/22/2019,67.720001
8/23/2019,66.589996
8/26/2019,66.620003
8/27/2019,66.980003
8/28/2019,66.699997
8/29/2019,67.639999
8/30/2019,67.339996
9/2/2019,66.720001
9/3/2019,66.400002
9/4/2019,67.510002
9/5/2019,66.5
9/6/2019,66.989998
9/9/2019,67.260002
9/10/2019,69.07
9/11/2019,69
9/12/2019,68.010002
9/13/2019,68.059998
9/16/2019,67.870003
9/17/2019,66.849998
9/18/2019,66.199997
9/19/2019,66.900002
9/20/2019,67.230003
9/23/2019,65.849998
9/24/2019,65.959999
9/25/2019,66.07
9/26/2019,64.610001
9/27/2019,64.68
9/30/2019,64.690002
10/1/2019,62.48
10/2/2019,60.619999
10/4/2019,62.279999
10/7/2019,63.130001
10/8/2019,63.369999
10/9/2019,64.18
10/10/2019,64.139999
10/11/2019,65.220001
10/14/2019,65.610001
10/15/2019,66.639999
10/16/2019,66.209999
10/17/2019,65.970001
10/18/2019,65.239998
10/21/2019,65.730003
10/22/2019,65
10/23/2019,66.5
10/24/2019,67.25
10/25/2019,66.540001
10/28/2019,66.379997
10/29/2019,65.93
10/30/2019,67.279999
10/31/2019,69.580002
11/1/2019,69.900002
11/4/2019,71.279999
11/5/2019,71.639999
