Date,Amount
1/3/2020,68.660004
1/5/2020,69.57
1/6/2020,68.5
1/7/2020,70.860001
1/8/2020,65.739998
1/9/2020,65.309998
1/10/2020,65
1/12/2020,64.699997
1/13/2020,64.220001
1/14/2020,64.400002
1/15/2020,64.360001
1/16/2020,64.760002
1/17/2020,65.089996
1/19/2020,65.779999
1/21/2020,64.550003
1/22/2020,62.689999
1/23/2020,62.150002
1/24/2020,60.619999
1/26/2020,59.07
1/27/2020,59.209999
1/28/2020,59.720001
1/29/2020,59.599998
1/30/2020,59.07
1/31/2020,58.150002
2/2/2020,null
2/3/2020,54.220001
2/4/2020,53.959999
2/5/2020,55.59
2/6/2020,55.41
2/7/2020,54.450001
2/9/2020,53.790001
2/10/2020,53.59
2/11/2020,54.400002
2/12/2020,56.279999
2/13/2020,56.290001
2/14/2020,57.360001
2/16/2020,57.259998
2/18/2020,57.740002
2/19/2020,59.299999
2/20/2020,58.91
2/21/2020,58.43
2/23/2020,56.970001
2/24/2020,56.27
2/25/2020,55.07
2/26/2020,53.43
2/27/2020,52
2/28/2020,50.5
3/1/2020,null
3/2/2020,null
3/3/2020,51.689999
3/4/2020,51.639999
3/5/2020,50.029999
3/6/2020,45.529999
3/8/2020,35.689999
3/9/2020,35.529999
3/10/2020,36.84
3/11/2020,36.009998
3/12/2020,32.540001
3/13/2020,34.599998
3/15/2020,32.279999
3/16/2020,30.16
3/17/2020,28.459999
3/18/2020,27.639999
3/19/2020,28.59
3/20/2020,27.41
3/22/2020,25.1
3/23/2020,27.75
3/24/2020,27.610001
3/25/2020,27.17
3/26/2020,26.940001
3/27/2020,24.950001
3/29/2020,23.5
3/30/2020,22.9
3/31/2020,22.719999
4/1/2020,null
4/2/2020,29.82
4/3/2020,34.779999
4/5/2020,null
4/6/2020,33.57
