Date,Amount
4/8/2019,360
4/9/2019,360
4/10/2019,361.75
4/11/2019,360
4/12/2019,361
4/14/2019,null
4/15/2019,362.75
4/16/2019,359
4/17/2019,358.25
4/18/2019,358.5
4/21/2019,null
4/22/2019,354.75
4/23/2019,351.25
4/24/2019,346.75
4/25/2019,347.5
4/26/2019,351.25
4/28/2019,null
4/29/2019,352
4/30/2019,353.25
5/1/2019,360
5/2/2019,362
5/3/2019,363
5/5/2019,null
5/6/2019,355.75
5/7/2019,358
5/8/2019,355.25
5/9/2019,344.5
5/10/2019,342.5
5/12/2019,null
5/13/2019,347.5
5/14/2019,360.5
5/15/2019,369.5
5/16/2019,379
5/17/2019,383.25
5/19/2019,null
5/20/2019,389
5/21/2019,394.25
5/22/2019,394.5
5/23/2019,389.75
5/24/2019,404.25
5/26/2019,null
5/28/2019,420.25
5/29/2019,418.75
5/30/2019,436.25
5/31/2019,427
6/2/2019,null
6/3/2019,424.25
6/4/2019,425.25
6/5/2019,414.75
6/6/2019,420.5
6/7/2019,415.75
6/9/2019,null
6/10/2019,415.75
6/11/2019,427.75
6/12/2019,430
6/13/2019,442
6/14/2019,453
6/16/2019,null
6/17/2019,454.75
6/18/2019,449.75
6/19/2019,441
6/20/2019,450
6/21/2019,442.25
6/23/2019,null
6/24/2019,446.75
6/25/2019,447.5
6/26/2019,443.25
6/27/2019,440
6/28/2019,420.25
6/30/2019,null
7/1/2019,412
7/2/2019,413.5
7/3/2019,null
7/5/2019,434
7/7/2019,null
7/8/2019,438.5
7/9/2019,431.75
7/10/2019,434.25
7/11/2019,447.75
7/12/2019,449.5
7/14/2019,null
7/15/2019,441
7/16/2019,435.25
7/17/2019,436
7/18/2019,424.5
7/19/2019,430.75
7/21/2019,null
7/22/2019,422.25
7/23/2019,425.5
7/24/2019,424
7/25/2019,418.5
7/26/2019,414.5
7/28/2019,null
7/29/2019,417
7/30/2019,411.25
7/31/2019,400.25
8/1/2019,392.75
8/2/2019,399.5
8/4/2019,null
8/5/2019,405.25
8/6/2019,404
8/7/2019,406.5
8/8/2019,411
8/9/2019,410.25
8/11/2019,null
8/12/2019,385.25
8/13/2019,366
8/14/2019,359
8/15/2019,360.75
8/16/2019,371
8/18/2019,null
8/19/2019,365
8/20/2019,359.5
8/21/2019,362.5
8/22/2019,363.25
8/23/2019,359.75
8/25/2019,null
8/26/2019,358.5
