Date,Amount
4/8/2019,57.709999
4/9/2019,56.950001
4/10/2019,57.860001
4/11/2019,58.389999
4/12/2019,58.049999
4/15/2019,57.450001
4/16/2019,58.110001
4/17/2019,58.43
4/18/2019,58.169998
4/22/2019,57.75
4/23/2019,58.240002
4/24/2019,57.849998
4/25/2019,56.709999
4/26/2019,57.110001
4/29/2019,57.73
4/30/2019,58.290001
5/1/2019,57.18
5/2/2019,57.66
5/3/2019,57.799999
5/6/2019,57.73
5/7/2019,57.169998
5/8/2019,56.450001
5/9/2019,56.59
5/10/2019,56.619999
5/13/2019,54.799999
5/14/2019,55.25
5/15/2019,55.049999
5/16/2019,55.380001
5/17/2019,54.889999
5/20/2019,54.279999
5/21/2019,54.830002
5/22/2019,54.060001
5/23/2019,54
5/24/2019,54.119999
5/28/2019,53.880001
5/29/2019,53.209999
5/30/2019,53.029999
5/31/2019,51.5
6/3/2019,52.099998
6/4/2019,54.310001
6/5/2019,54.939999
6/6/2019,54.689999
6/7/2019,55.07
6/10/2019,54.73
6/11/2019,54.880001
6/12/2019,55.450001
6/13/2019,56.52
6/14/2019,55.990002
6/17/2019,55.669998
6/18/2019,56.029999
6/19/2019,56.360001
6/20/2019,55.970001
6/21/2019,55.990002
6/24/2019,56.07
6/25/2019,55.919998
6/26/2019,56.380001
6/27/2019,56.82
6/28/2019,56.75
7/1/2019,57.790001
7/2/2019,58.540001
7/3/2019,59.150002
7/5/2019,58.700001
7/8/2019,59.369999
7/9/2019,58.959999
7/10/2019,59.470001
7/11/2019,60.16
7/12/2019,61.650002
7/15/2019,61.700001
7/16/2019,63.16
7/17/2019,62.25
7/18/2019,62.66
7/19/2019,60.91
7/22/2019,61.290001
7/23/2019,63.09
7/24/2019,63.16
7/25/2019,62.23
7/26/2019,62.16
7/29/2019,62.459999
7/30/2019,62.630001
7/31/2019,61.040001
8/1/2019,60.32
8/2/2019,60.130001
8/5/2019,57.82
8/6/2019,58.790001
8/7/2019,59.240002
8/8/2019,60.029999
8/9/2019,59.529999
8/12/2019,58.66
8/13/2019,58.84
8/14/2019,57.23
8/15/2019,57.110001
8/16/2019,58.040001
8/19/2019,58.189999
8/20/2019,57.68
8/21/2019,58.009998
8/22/2019,57.959999
8/23/2019,56.200001
8/26/2019,56.279999
8/27/2019,56.139999
8/28/2019,56.68
8/29/2019,57.880001
8/30/2019,57.860001
9/3/2019,57.290001
9/4/2019,57.23
9/5/2019,58.189999
9/6/2019,57.98
9/9/2019,58.110001
9/10/2019,58.639999
9/11/2019,58.779999
9/12/2019,59.439999
9/13/2019,60.009998
9/16/2019,59.07
9/17/2019,59.369999
9/18/2019,59.310001
9/19/2019,58.689999
9/20/2019,58.630001
9/23/2019,58.02
9/24/2019,58
9/25/2019,58.310001
9/26/2019,58.779999
9/27/2019,58.279999
9/30/2019,57.599998
10/1/2019,57.009998
10/2/2019,54.349998
10/3/2019,52.830002
10/4/2019,53.810001
10/7/2019,53.360001
10/8/2019,53.200001
10/9/2019,53.919998
10/10/2019,53.099998
10/11/2019,52.950001
10/14/2019,52.990002
10/15/2019,53.639999
10/16/2019,53.169998
10/17/2019,53.369999
10/18/2019,53.830002
10/21/2019,54.580002
10/22/2019,54.650002
10/23/2019,53.810001
10/24/2019,53.790001
10/25/2019,54.599998
10/28/2019,55.169998
10/29/2019,55.380001
10/30/2019,55.32
10/31/2019,55.080002
11/1/2019,56.02
11/4/2019,56.880001
11/5/2019,57.509998
11/6/2019,57.580002
11/7/2019,57.66
11/8/2019,57.580002
11/11/2019,57.209999
11/12/2019,57.220001
11/13/2019,56.5
11/14/2019,56.549999
11/15/2019,56.849998
11/18/2019,57.080002
11/19/2019,57.07
11/20/2019,55.669998
11/21/2019,55.310001
11/22/2019,56.110001
11/25/2019,56.349998
11/26/2019,57.459999
11/27/2019,57.07
11/29/2019,57.310001
12/2/2019,56.75
12/3/2019,55.619999
12/4/2019,56.060001
12/5/2019,55.880001
12/6/2019,56.139999
12/9/2019,55.799999
12/10/2019,55.529999
12/11/2019,55.080002
12/12/2019,56.689999
12/13/2019,56.73
12/16/2019,58.419998
12/17/2019,58.689999
12/18/2019,58.580002
12/19/2019,59.139999
12/20/2019,58.970001
12/23/2019,59.439999
12/24/2019,59.389999
12/26/2019,59.560001
12/27/2019,59.080002
12/30/2019,58.66
12/31/2019,58.48
1/2/2020,59.040001
1/3/2020,58.060001
1/6/2020,57.66
1/7/2020,57.610001
1/8/2020,58.849998
1/9/2020,58.959999
1/10/2020,59.240002
1/13/2020,59.490002
1/14/2020,61.450001
1/15/2020,61.619999
1/16/2020,61.880001
1/17/2020,62.029999
1/21/2020,60.34
1/22/2020,59.639999
1/23/2020,60.27
1/24/2020,58.810001
1/27/2020,56.830002
1/28/2020,57.48
1/29/2020,56.650002
1/30/2020,57.099998
1/31/2020,55.740002
2/3/2020,56.040001
2/4/2020,57.93
2/5/2020,58.889999
2/6/2020,58.18
2/7/2020,57.919998
2/10/2020,57.709999
2/11/2020,58.66
2/12/2020,59.470001
2/13/2020,59.130001
2/14/2020,58.900002
2/18/2020,58.720001
2/19/2020,58.509998
2/20/2020,58.380001
2/21/2020,57.869999
2/24/2020,54.23
2/25/2020,50.889999
2/26/2020,49.59
2/27/2020,48.189999
2/28/2020,46.130001
3/2/2020,47.16
3/3/2020,46.18
3/4/2020,48.5
3/5/2020,45.009998
3/6/2020,45.889999
3/9/2020,43.52
3/10/2020,45.470001
3/11/2020,42.669998
3/12/2020,33.709999
3/13/2020,38.360001
3/16/2020,35.810001
3/17/2020,31.74
3/18/2020,23.49
3/19/2020,21.51
3/20/2020,21.35
3/23/2020,22.219999
3/24/2020,26.889999
3/25/2020,31.1
3/26/2020,31.700001
3/27/2020,29.549999
3/30/2020,28.67
3/31/2020,28.530001
4/1/2020,23.870001
4/2/2020,22.68
4/3/2020,22.48
