Date,Amount
4/8/2019,97.050003
4/9/2019,97.010002
4/10/2019,96.949997
4/11/2019,97.18
4/12/2019,96.949997
4/14/2019,null
4/15/2019,96.940002
4/16/2019,97.040001
4/17/2019,97.010002
4/18/2019,97.470001
4/21/2019,null
4/22/2019,97.300003
4/23/2019,97.57
4/24/2019,98.099998
4/25/2019,98.199997
4/26/2019,98.010002
4/28/2019,null
4/29/2019,97.860001
4/30/2019,97.480003
5/1/2019,97.690002
5/2/2019,97.830002
5/3/2019,97.519997
5/5/2019,null
5/6/2019,97.519997
5/7/2019,97.629997
5/8/2019,97.620003
5/9/2019,97.370003
5/10/2019,97.330002
5/12/2019,null
5/13/2019,97.360001
5/14/2019,97.529999
5/15/2019,97.57
5/16/2019,97.839996
5/17/2019,98
5/19/2019,null
5/20/2019,97.93
5/21/2019,98.059998
5/22/2019,98.110001
5/23/2019,97.849998
5/24/2019,97.610001
5/26/2019,null
5/28/2019,97.959999
5/29/2019,98.139999
5/30/2019,98.139999
5/31/2019,97.790001
6/2/2019,null
6/3/2019,97.139999
6/4/2019,97.07
6/5/2019,97.370003
6/6/2019,97.029999
6/7/2019,96.610001
6/9/2019,null
6/10/2019,96.790001
6/11/2019,96.690002
6/12/2019,97
6/13/2019,97.010002
6/14/2019,97.57
6/16/2019,null
6/17/2019,97.559998
6/18/2019,97.639999
6/19/2019,97.120003
6/20/2019,96.629997
6/21/2019,96.190002
6/23/2019,null
6/24/2019,95.980003
6/25/2019,96.160004
6/26/2019,96.209999
6/27/2019,96.220001
6/28/2019,96.129997
6/30/2019,null
7/1/2019,96.839996
7/2/2019,96.769997
7/3/2019,null
7/5/2019,97.25
7/7/2019,null
7/8/2019,97.379997
7/9/2019,97.489998
7/10/2019,97.099998
7/11/2019,97.050003
7/12/2019,96.809998
7/14/2019,null
7/15/2019,96.93
7/16/2019,97.400002
7/17/2019,97.220001
7/18/2019,96.790001
7/19/2019,97.150002
7/21/2019,null
7/22/2019,97.260002
7/23/2019,97.709999
7/24/2019,97.730003
7/25/2019,97.82
7/26/2019,98.010002
7/28/2019,null
7/29/2019,98.040001
7/30/2019,98.050003
7/31/2019,98.519997
8/1/2019,98.389999
8/2/2019,98.099998
8/4/2019,null
8/5/2019,97.5
8/6/2019,97.629997
8/7/2019,97.540001
8/8/2019,97.620003
8/9/2019,97.489998
8/11/2019,null
8/12/2019,97.379997
8/13/2019,97.809998
8/14/2019,97.989998
8/15/2019,98.139999
8/16/2019,98.139999
8/18/2019,null
8/19/2019,98.349998
8/20/2019,98.190002
8/21/2019,98.300003
8/22/2019,98.169998
8/23/2019,97.639999
8/25/2019,null
8/26/2019,98.080002
8/27/2019,98
8/28/2019,98.209999
8/29/2019,98.510002
8/30/2019,98.919998
9/1/2019,null
9/3/2019,98.949997
9/4/2019,98.449997
9/5/2019,98.410004
9/6/2019,98.389999
9/8/2019,null
9/9/2019,98.279999
9/10/2019,98.379997
9/11/2019,98.650002
9/12/2019,98.309998
9/13/2019,98.260002
9/15/2019,null
9/16/2019,98.650002
9/17/2019,98.260002
9/18/2019,98.599998
9/19/2019,98.269997
9/20/2019,98.510002
9/22/2019,null
9/23/2019,98.599998
9/24/2019,98.339996
9/25/2019,99.040001
9/26/2019,99.209999
9/27/2019,99.110001
9/29/2019,null
9/30/2019,99.379997
10/1/2019,99.129997
10/2/2019,99.040001
10/3/2019,98.860001
10/4/2019,98.809998
10/6/2019,null
10/7/2019,98.989998
10/8/2019,99.139999
10/9/2019,99.120003
10/10/2019,98.709999
10/11/2019,98.300003
10/13/2019,null
10/14/2019,98.5
10/15/2019,98.290001
10/16/2019,98.010002
10/17/2019,97.610001
10/18/2019,97.279999
10/20/2019,null
10/21/2019,97.330002
10/22/2019,97.529999
10/23/2019,97.470001
10/24/2019,97.629997
10/25/2019,97.830002
10/27/2019,null
10/28/2019,97.760002
10/29/2019,97.690002
10/30/2019,97.650002
10/31/2019,97.349998
11/1/2019,97.230003
11/3/2019,null
11/4/2019,97.510002
11/5/2019,97.980003
11/6/2019,97.949997
11/7/2019,98.139999
11/8/2019,98.349998
11/10/2019,null
11/11/2019,98.220001
11/12/2019,98.309998
11/13/2019,98.370003
11/14/2019,98.160004
11/15/2019,98
11/17/2019,null
11/18/2019,97.790001
11/19/2019,97.860001
11/20/2019,97.93
11/21/2019,97.989998
11/22/2019,98.269997
11/24/2019,null
11/25/2019,98.32
11/26/2019,98.25
11/27/2019,98.410004
11/29/2019,null
12/1/2019,null
12/2/2019,97.860001
12/3/2019,97.739998
12/4/2019,97.650002
12/5/2019,97.410004
12/6/2019,97.699997
12/8/2019,null
12/9/2019,97.660004
12/10/2019,97.410004
12/11/2019,97.160004
12/12/2019,97.400002
12/13/2019,97.169998
12/15/2019,null
12/16/2019,97.07
12/17/2019,97.209999
12/18/2019,97.410004
12/19/2019,97.419998
12/20/2019,97.709999
12/22/2019,null
12/23/2019,97.68
12/24/2019,null
12/26/2019,97.589996
12/27/2019,96.919998
12/29/2019,null
12/30/2019,96.739998
12/31/2019,96.389999
1/2/2020,96.849998
1/3/2020,96.839996
1/5/2020,null
1/6/2020,96.669998
1/7/2020,96.980003
1/8/2020,97.330002
1/9/2020,97.449997
1/10/2020,97.360001
1/12/2020,null
1/13/2020,97.349998
1/14/2020,97.370003
1/15/2020,97.230003
1/16/2020,97.32
1/17/2020,97.610001
1/19/2020,null
1/21/2020,97.529999
1/22/2020,97.529999
1/23/2020,97.690002
1/24/2020,97.849998
1/26/2020,null
1/27/2020,97.959999
1/28/2020,98.019997
1/29/2020,97.989998
1/30/2020,97.870003
1/31/2020,97.389999
2/2/2020,null
2/3/2020,97.800003
2/4/2020,97.959999
2/5/2020,98.269997
2/6/2020,98.5
2/7/2020,98.68
2/9/2020,null
2/10/2020,98.830002
2/11/2020,98.720001
2/12/2020,99.050003
2/13/2020,99.07
2/14/2020,99.120003
2/16/2020,null
2/18/2020,99.459999
2/19/2020,99.599998
2/20/2020,99.870003
2/21/2020,99.260002
2/23/2020,null
2/24/2020,99.290001
2/25/2020,98.970001
2/26/2020,99
2/27/2020,98.440002
2/28/2020,98.129997
3/1/2020,null
3/2/2020,97.360001
3/3/2020,97.150002
3/4/2020,97.339996
3/5/2020,96.82
3/6/2020,95.949997
3/8/2020,null
3/9/2020,94.900002
3/10/2020,96.410004
3/11/2020,96.510002
3/12/2020,97.470001
3/13/2020,98.75
3/15/2020,null
3/16/2020,98.089996
3/17/2020,99.580002
3/18/2020,101.160004
3/19/2020,102.760002
3/20/2020,102.82
3/22/2020,null
3/23/2020,102.489998
3/24/2020,101.739998
3/25/2020,101.050003
3/26/2020,99.419998
3/27/2020,98.370003
3/29/2020,null
3/30/2020,99.18
3/31/2020,98.949997
4/1/2020,99.669998
4/2/2020,100.18
4/3/2020,100.580002
4/5/2020,null
4/6/2020,100.605003
