Date,Amount
1/22/2020,17
1/23/2020,18
1/24/2020,26
1/25/2020,42
1/26/2020,56
1/27/2020,82
1/28/2020,131
1/29/2020,133
1/30/2020,171
1/31/2020,213
2/1/2020,259
2/2/2020,362
2/3/2020,426
2/4/2020,492
2/5/2020,564
2/6/2020,634
2/7/2020,719
2/8/2020,806
2/9/2020,906
2/10/2020,1013
2/11/2020,1113
2/12/2020,1118
2/13/2020,1371
2/14/2020,1523
2/15/2020,1666
2/16/2020,1770
2/17/2020,1868
2/18/2020,2007
2/19/2020,2122
2/20/2020,2247
2/21/2020,2251
2/22/2020,2458
2/23/2020,2469
2/24/2020,2629
2/25/2020,2708
2/26/2020,2770
2/27/2020,2814
2/28/2020,2872
2/29/2020,2941
3/1/2020,2996
3/2/2020,3085
3/3/2020,3160
3/4/2020,3254
3/5/2020,3348
3/6/2020,3460
3/7/2020,3558
3/8/2020,3802
3/9/2020,3988
3/10/2020,4262
3/11/2020,4615
3/12/2020,4720
3/13/2020,5404
3/14/2020,5819
3/15/2020,6440
3/16/2020,7126
3/17/2020,7905
3/18/2020,8733
3/19/2020,9867
3/20/2020,11299
3/21/2020,12973
3/22/2020,14651
3/23/2020,16505
3/24/2020,18625
3/25/2020,21181
3/26/2020,23970
3/27/2020,27198
3/28/2020,30652
3/29/2020,33925
3/30/2020,37582
3/31/2020,42107
4/1/2020,46809
4/2/2020,52983
4/3/2020,58787
4/4/2020,64606
4/5/2020,69374
4/6/2020,74565
