Date,Amount
4/8/2019,26334
4/9/2019,26158
4/10/2019,26166
4/11/2019,26133
4/12/2019,26408
4/14/2019,null
4/15/2019,26373
4/16/2019,26447
4/17/2019,26428
4/18/2019,26566
4/21/2019,null
4/22/2019,26513
4/23/2019,26639
4/24/2019,26541
4/25/2019,26440
4/26/2019,26517
4/28/2019,null
4/29/2019,26548
4/30/2019,26584
5/1/2019,26390
5/2/2019,26265
5/3/2019,26499
5/5/2019,null
5/6/2019,26405
5/7/2019,25973
5/8/2019,26014
5/9/2019,25816
5/10/2019,25964
5/12/2019,null
5/13/2019,25281
5/14/2019,25570
5/15/2019,25674
5/16/2019,25867
5/17/2019,25780
5/19/2019,null
5/20/2019,25696
5/21/2019,25875
5/22/2019,25771
5/23/2019,25463
5/24/2019,25620
5/26/2019,null
5/28/2019,25369
5/29/2019,25109
5/30/2019,25190
5/31/2019,24820
6/2/2019,null
6/3/2019,24869
6/4/2019,25346
6/5/2019,25558
6/6/2019,25745
6/7/2019,26007
6/9/2019,null
6/10/2019,26086
6/11/2019,26065
6/12/2019,26012
6/13/2019,26117
6/14/2019,26123
6/16/2019,null
6/17/2019,26131
6/18/2019,26495
6/19/2019,26529
6/20/2019,26763
6/21/2019,26745.59961
6/23/2019,null
6/24/2019,26762
6/25/2019,26562
6/26/2019,26550
6/27/2019,26546
6/28/2019,26593
6/30/2019,26809
7/1/2019,26700
7/2/2019,26797
7/3/2019,null
7/5/2019,26885
7/7/2019,26867
7/8/2019,26793
7/9/2019,26779
7/10/2019,26860
7/11/2019,27077
7/12/2019,27309
7/14/2019,27294
7/15/2019,27342
7/16/2019,27328
7/17/2019,27231
7/18/2019,27201
7/19/2019,27130
7/21/2019,27161
7/22/2019,27176
7/23/2019,27324
7/24/2019,27237
7/25/2019,27096
7/26/2019,27149
7/28/2019,27147
7/29/2019,27198
7/30/2019,27164
7/31/2019,26855
8/1/2019,26543
8/2/2019,26449
8/4/2019,26398
8/5/2019,25550
8/6/2019,25924
8/7/2019,25940
8/8/2019,26365
8/9/2019,26268
8/11/2019,26212
8/12/2019,25867
8/13/2019,26314
8/14/2019,25455
8/15/2019,25575
8/16/2019,25907
8/18/2019,26045
8/19/2019,26118
8/20/2019,25931
8/21/2019,26226
8/22/2019,26225
8/23/2019,25670
8/25/2019,25389
8/26/2019,25943
8/27/2019,25744
8/28/2019,26037
8/29/2019,26378
8/30/2019,26406
9/1/2019,26276
9/3/2019,26122
9/4/2019,26372
