Date,Amount
4/4/2019,1289
4/5/2019,1290.400024
4/7/2019,1295.599976
4/8/2019,1297.099976
4/9/2019,1303.5
4/10/2019,1309.099976
4/11/2019,1288.599976
4/12/2019,1290.599976
4/14/2019,1292.599976
4/15/2019,1286.800049
4/16/2019,1272.599976
4/17/2019,1272.199951
4/18/2019,1271.900024
4/21/2019,1279
4/22/2019,1273.5
4/23/2019,1269.300049
4/24/2019,1275.5
4/25/2019,1275.800049
4/26/2019,1284.900024
4/28/2019,1288.199951
4/29/2019,1278.599976
4/30/2019,1282.800049
5/1/2019,1281.400024
5/2/2019,1269.699951
5/3/2019,1279.199951
5/5/2019,1285
5/6/2019,1281.699951
5/7/2019,1283.5
5/8/2019,1279.400024
5/9/2019,1283.5
5/10/2019,1285.699951
5/12/2019,1288.300049
5/13/2019,1300.099976
5/14/2019,1294.699951
5/15/2019,1296.300049
5/16/2019,1285
5/17/2019,1274.5
5/19/2019,1277.099976
5/20/2019,1276.099976
5/21/2019,1272
5/22/2019,1273.599976
5/23/2019,1284.800049
5/24/2019,1283
5/26/2019,1284.099976
5/28/2019,1276.5
5/29/2019,1280.599976
5/30/2019,1287.099976
5/31/2019,1305.800049
6/2/2019,1313.699951
6/3/2019,1322.699951
6/4/2019,1323.400024
6/5/2019,1328.300049
6/6/2019,1337.599976
6/7/2019,1341.199951
6/9/2019,1339.5
6/10/2019,1324.699951
6/11/2019,1326.400024
6/12/2019,1331.900024
6/13/2019,1339.199951
6/14/2019,1340.099976
6/16/2019,1342.5
6/17/2019,1338.699951
6/18/2019,1346.599976
6/19/2019,1344.599976
6/20/2019,1392.900024
6/21/2019,1396.199951
6/23/2019,1409.5
6/24/2019,1414.300049
6/25/2019,1414.900024
6/26/2019,1411.599976
6/27/2019,1408.400024
6/28/2019,1409.699951
6/30/2019,1395.5
7/1/2019,1385.599976
7/2/2019,1404.599976
7/3/2019,null
7/5/2019,1396.699951
7/7/2019,1398.900024
7/8/2019,1397
7/9/2019,1397.5
7/10/2019,1410.099976
7/11/2019,1404.300049
7/12/2019,1409.900024
