Date,Amount
4/8/2019,2.708
4/9/2019,2.699
4/10/2019,2.7
4/11/2019,2.664
4/12/2019,2.66
4/14/2019,null
4/15/2019,2.59
4/16/2019,2.572
4/17/2019,2.517
4/18/2019,2.49
4/21/2019,null
4/22/2019,2.524
4/23/2019,2.455
4/24/2019,2.462
4/25/2019,2.514
4/26/2019,2.566
4/28/2019,null
4/29/2019,2.593
4/30/2019,2.575
5/1/2019,2.62
5/2/2019,2.589
5/3/2019,2.567
5/5/2019,null
5/6/2019,2.524
5/7/2019,2.537
5/8/2019,2.61
5/9/2019,2.595
5/10/2019,2.619
5/12/2019,null
5/13/2019,2.621
5/14/2019,2.659
5/15/2019,2.601
5/16/2019,2.639
5/17/2019,2.631
5/19/2019,null
5/20/2019,2.673
5/21/2019,2.613
5/22/2019,2.543
5/23/2019,2.578
5/24/2019,2.598
5/26/2019,null
5/28/2019,2.582
5/29/2019,2.633
5/30/2019,2.547
5/31/2019,2.454
6/2/2019,null
6/3/2019,2.403
6/4/2019,2.416
6/5/2019,2.378
6/6/2019,2.324
6/7/2019,2.337
6/9/2019,null
6/10/2019,2.357
6/11/2019,2.399
6/12/2019,2.386
6/13/2019,2.325
6/14/2019,2.387
6/16/2019,null
6/17/2019,2.386
6/18/2019,2.328
6/19/2019,2.276
6/20/2019,2.185
6/21/2019,2.186
6/23/2019,null
6/24/2019,2.303
6/25/2019,2.308
6/26/2019,2.291
6/27/2019,2.324
6/28/2019,2.308
6/30/2019,null
7/1/2019,2.267
7/2/2019,2.24
7/3/2019,null
7/5/2019,2.418
7/7/2019,null
7/8/2019,2.403
7/9/2019,2.425
7/10/2019,2.444
7/11/2019,2.416
7/12/2019,2.453
7/14/2019,null
7/15/2019,2.408
7/16/2019,2.306
7/17/2019,2.304
7/18/2019,2.287
7/19/2019,2.251
7/21/2019,null
7/22/2019,2.312
7/23/2019,2.3
7/24/2019,2.22
7/25/2019,2.244
7/26/2019,2.169
7/28/2019,null
7/29/2019,2.141
7/30/2019,2.137
7/31/2019,2.233
8/1/2019,2.202
8/2/2019,2.121
8/4/2019,null
8/5/2019,2.07
8/6/2019,2.111
8/7/2019,2.083
8/8/2019,2.128
8/9/2019,2.119
8/11/2019,null
8/12/2019,2.105
8/13/2019,2.147
8/14/2019,2.143
8/15/2019,2.232
8/16/2019,2.2
8/18/2019,null
8/19/2019,2.21
8/20/2019,2.218
8/21/2019,2.17
8/22/2019,2.159
8/23/2019,2.152
8/25/2019,null
8/26/2019,2.23
8/27/2019,2.202
8/28/2019,2.251
8/29/2019,2.296
8/30/2019,2.285
9/1/2019,null
9/3/2019,2.358
9/4/2019,2.445
9/5/2019,2.435
9/6/2019,2.496
9/8/2019,null
9/9/2019,2.585
9/10/2019,2.58
9/11/2019,2.552
9/12/2019,2.574
9/13/2019,2.614
9/15/2019,null
9/16/2019,2.681
9/17/2019,2.668
9/18/2019,2.637
9/19/2019,2.538
9/20/2019,2.534
9/22/2019,null
9/23/2019,2.527
9/24/2019,2.503
9/25/2019,2.502
9/26/2019,2.428
9/27/2019,2.404
9/29/2019,null
9/30/2019,2.33
10/1/2019,2.283
10/2/2019,2.247
10/3/2019,2.329
10/4/2019,2.352
10/6/2019,null
10/7/2019,2.303
10/8/2019,2.288
10/9/2019,2.234
10/10/2019,2.218
10/11/2019,2.214
10/13/2019,null
10/14/2019,2.28
10/15/2019,2.339
10/16/2019,2.303
10/17/2019,2.318
10/18/2019,2.32
10/20/2019,null
10/21/2019,2.238
10/22/2019,2.272
10/23/2019,2.282
10/24/2019,2.316
10/25/2019,2.3
10/27/2019,null
10/28/2019,2.446
10/29/2019,2.597
10/30/2019,2.691
10/31/2019,2.633
11/1/2019,2.714
11/3/2019,null
11/4/2019,2.821
11/5/2019,2.862
11/6/2019,2.828
11/7/2019,2.772
11/8/2019,2.789
11/10/2019,null
11/11/2019,2.637
11/12/2019,2.621
11/13/2019,2.6
11/14/2019,2.647
11/15/2019,2.688
11/17/2019,null
11/18/2019,2.566
11/19/2019,2.51
11/20/2019,2.559
11/21/2019,2.567
11/22/2019,2.665
11/24/2019,null
11/25/2019,2.531
11/26/2019,2.47
11/27/2019,2.501
11/29/2019,null
12/1/2019,null
12/2/2019,2.329
12/3/2019,2.441
12/4/2019,2.399
12/5/2019,2.427
12/6/2019,2.334
12/8/2019,null
12/9/2019,2.232
12/10/2019,2.264
12/11/2019,2.243
12/12/2019,2.328
12/13/2019,2.296
12/15/2019,null
12/16/2019,2.341
12/17/2019,2.319
12/18/2019,2.286
12/19/2019,2.273
12/20/2019,2.328
12/22/2019,null
12/23/2019,2.214
12/24/2019,null
12/26/2019,2.294
12/27/2019,2.158
12/29/2019,null
12/30/2019,2.186
12/31/2019,2.189
1/2/2020,2.122
1/3/2020,2.13
1/5/2020,null
1/6/2020,2.135
1/7/2020,2.162
1/8/2020,2.141
1/9/2020,2.166
1/10/2020,2.202
1/12/2020,null
1/13/2020,2.182
1/14/2020,2.187
1/15/2020,2.12
1/16/2020,2.077
1/17/2020,2.003
1/19/2020,null
1/21/2020,1.895
1/22/2020,1.905
1/23/2020,1.926
1/24/2020,1.893
1/26/2020,null
1/27/2020,1.902
1/28/2020,1.934
1/29/2020,1.877
1/30/2020,1.829
1/31/2020,1.841
2/2/2020,1.858
2/3/2020,1.819
2/4/2020,1.872
2/5/2020,1.861
2/6/2020,1.862
2/7/2020,1.858
2/9/2020,1.793
2/10/2020,1.766
2/11/2020,1.788
2/12/2020,1.844
2/13/2020,1.826
2/14/2020,1.837
2/16/2020,1.893
2/18/2020,1.981
2/19/2020,1.955
2/20/2020,1.92
2/21/2020,1.905
2/23/2020,1.88
2/24/2020,1.827
2/25/2020,1.847
2/26/2020,1.821
2/27/2020,1.837
2/28/2020,1.752
3/1/2020,1.689
3/2/2020,1.684
3/3/2020,1.756
3/4/2020,1.8
3/5/2020,1.827
3/6/2020,1.772
3/8/2020,1.652
3/9/2020,1.708
3/10/2020,1.778
3/11/2020,1.936
3/12/2020,1.878
3/13/2020,1.841
3/15/2020,1.811
3/16/2020,1.869
3/17/2020,1.815
3/18/2020,1.729
3/19/2020,1.604
3/20/2020,1.654
3/22/2020,1.537
3/23/2020,1.604
3/24/2020,1.679
3/25/2020,1.666
3/26/2020,1.639
3/27/2020,1.62
3/29/2020,1.621
3/30/2020,1.698
3/31/2020,1.649
4/1/2020,1.591
4/2/2020,1.556
4/3/2020,1.659
4/5/2020,null
4/6/2020,1.643
