Date,Amount
4/4/2019,10.55
4/5/2019,10.515
4/7/2019,
4/8/2019,10.42
4/9/2019,10.29
4/10/2019,10.235
4/11/2019,10.285
4/12/2019,10.46
4/14/2019,
4/15/2019,10.555
4/16/2019,10.515
4/17/2019,10.48
4/18/2019,10.425
4/21/2019,
4/22/2019,10.45
4/23/2019,10.225
4/24/2019,10.16
4/25/2019,10.16
4/26/2019,10.195
4/28/2019,
4/29/2019,10.315
4/30/2019,10.275
5/1/2019,10.255
5/2/2019,10.41
5/3/2019,10.47
5/5/2019,
5/6/2019,10.41
5/7/2019,10.645
5/8/2019,10.66
5/9/2019,10.66
5/10/2019,10.72
5/12/2019,
5/13/2019,10.72
5/14/2019,10.815
5/15/2019,
5/16/2019,
5/17/2019,
5/19/2019,
5/20/2019,
5/21/2019,
5/22/2019,
5/23/2019,
5/24/2019,
5/26/2019,
5/28/2019,
5/29/2019,
5/30/2019,
5/31/2019,
6/2/2019,
6/3/2019,11.695
6/4/2019,11.68
6/5/2019,11.645
6/6/2019,11.735
6/7/2019,11.725
6/9/2019,
6/10/2019,11.77
6/11/2019,11.575
6/12/2019,11.74
6/13/2019,11.65
6/14/2019,11.64
6/16/2019,
6/17/2019,11.615
6/18/2019,11.565
6/19/2019,11.365
6/20/2019,11.225
6/21/2019,11.295
6/23/2019,
6/24/2019,11.18
6/25/2019,11.055
6/26/2019,11
6/27/2019,11.14
6/28/2019,11.275
6/30/2019,
7/1/2019,11.215
7/2/2019,10.97
7/3/2019,
7/5/2019,11.205
7/7/2019,
7/8/2019,11.44
7/9/2019,11.6
7/10/2019,11.655
7/11/2019,11.665
7/12/2019,11.68
7/14/2019,
7/15/2019,11.885
7/16/2019,11.785
7/17/2019,11.815
7/18/2019,11.89
7/19/2019,11.945
7/21/2019,
7/22/2019,11.92
7/23/2019,11.97
7/24/2019,12.035
7/25/2019,12.125
7/26/2019,12.195
7/28/2019,
7/29/2019,12.31
7/30/2019,12.095
7/31/2019,11.945
8/1/2019,11.95
8/2/2019,11.705
8/4/2019,
8/5/2019,11.43
8/6/2019,11.34
8/7/2019,11.37
8/8/2019,11.355
8/9/2019,11.37
8/11/2019,
8/12/2019,11.57
8/13/2019,11.455
8/14/2019,11.5
8/15/2019,11.32
8/16/2019,11.2
8/18/2019,
8/19/2019,11.03
8/20/2019,10.98
8/21/2019,10.91
8/22/2019,10.87
8/23/2019,10.98
8/25/2019,
8/26/2019,11.22
8/27/2019,11.15
8/28/2019,11.335
8/29/2019,11.56
8/30/2019,11.67
9/1/2019,
9/3/2019,11.685
9/4/2019,11.7
9/5/2019,11.69
9/6/2019,11.69
9/8/2019,
9/9/2019,11.68
9/10/2019,11.765
9/11/2019,11.845
9/12/2019,11.935
9/13/2019,11.97
9/15/2019,
9/16/2019,12.215
9/17/2019,12.275
9/18/2019,12.31
9/19/2019,12.365
9/20/2019,12.315
9/22/2019,
9/23/2019,12.06
9/24/2019,12
9/25/2019,11.895
9/26/2019,12.08
9/27/2019,12.155
9/29/2019,
9/30/2019,12.015
10/1/2019,11.87
10/2/2019,11.715
