Date,Amount
4/8/2019,2898.25
4/9/2019,2882.5
4/10/2019,2894.5
4/11/2019,2891.75
4/12/2019,2912.5
4/14/2019,null
4/15/2019,2909.5
4/16/2019,2911.5
4/17/2019,2900.5
4/18/2019,2910
4/21/2019,null
4/22/2019,2912.5
4/23/2019,2938
4/24/2019,2930.75
4/25/2019,2926.25
4/26/2019,2941.5
4/28/2019,null
4/29/2019,2943
4/30/2019,2948.5
5/1/2019,2923
5/2/2019,2917.5
5/3/2019,2947.5
5/5/2019,null
5/6/2019,2932.5
5/7/2019,2890.75
5/8/2019,2887.25
5/9/2019,2872.75
5/10/2019,2887
5/12/2019,null
5/13/2019,2807
5/14/2019,2839.25
5/15/2019,2855
5/16/2019,2878.5
5/17/2019,2862
5/19/2019,null
5/20/2019,2844
5/21/2019,2866
5/22/2019,2857.5
5/23/2019,2819.5
5/24/2019,2831.75
5/26/2019,null
5/28/2019,2805
5/29/2019,2780
5/30/2019,2790.5
5/31/2019,2752.5
6/2/2019,null
6/3/2019,2749.5
6/4/2019,2805
6/5/2019,2827.75
6/6/2019,2845.75
6/7/2019,2875
6/9/2019,null
6/10/2019,2889.25
6/11/2019,2887
6/12/2019,2881
6/13/2019,2894.5
6/14/2019,2890.5
6/16/2019,null
6/17/2019,2892
6/18/2019,2921.75
6/19/2019,2929
6/20/2019,2955.75
6/21/2019,2953.899902
6/23/2019,null
6/24/2019,2952
6/25/2019,2922
6/26/2019,2918
6/27/2019,2931
6/28/2019,2944.25
6/30/2019,2970.25
7/1/2019,2967.75
7/2/2019,2979.5
7/3/2019,null
7/5/2019,2990.5
7/7/2019,2989
7/8/2019,2978.5
7/9/2019,2982
7/10/2019,2997.5
7/11/2019,3004
7/12/2019,3015.5
7/14/2019,3013.5
7/15/2019,3017.25
7/16/2019,3007
7/17/2019,2985
7/18/2019,2997.5
7/19/2019,2977
7/21/2019,2979.5
7/22/2019,2989
7/23/2019,3008
7/24/2019,3021.5
7/25/2019,3006.5
7/26/2019,3024.5
7/28/2019,3023.5
7/29/2019,3021.75
7/30/2019,3012.25
7/31/2019,2982.25
8/1/2019,2952
8/2/2019,2932.5
8/4/2019,2926.75
8/5/2019,2830
8/6/2019,2876
8/7/2019,2880.5
8/8/2019,2940
8/9/2019,2919.75
8/11/2019,2916.5
8/12/2019,2880.25
8/13/2019,2932
8/14/2019,2840.75
8/15/2019,2848.5
8/16/2019,2891.5
8/18/2019,2903.75
8/19/2019,2923.75
8/20/2019,2898.25
8/21/2019,2929.25
8/22/2019,2922.25
8/23/2019,2855.5
8/25/2019,2824.25
8/26/2019,2883.25
8/27/2019,2865.5
8/28/2019,2889.75
8/29/2019,2926.75
8/30/2019,2924.75
9/1/2019,2909.75
9/3/2019,2906
9/4/2019,2938.5
9/5/2019,2972
9/6/2019,2980.75
9/8/2019,2982
9/9/2019,2978.25
9/10/2019,2978.5
9/11/2019,3002
9/12/2019,3011.75
9/13/2019,3006.5
9/15/2019,2989
9/16/2019,2999
9/17/2019,3005.5
9/18/2019,3006.25
9/19/2019,3006
9/20/2019,3013.610107
9/22/2019,3002.75
9/23/2019,2997
9/24/2019,2970.25
9/25/2019,2986.25
9/26/2019,2980.5
9/27/2019,2963.75
9/29/2019,2970.5
9/30/2019,2978.5
10/1/2019,2937.75
10/2/2019,2880.5
10/3/2019,2911.75
10/4/2019,2951
10/6/2019,2941.75
10/7/2019,2937.5
10/8/2019,2892.5
10/9/2019,2919
10/10/2019,2941
10/11/2019,2970.75
10/13/2019,2979.5
10/14/2019,2965.5
10/15/2019,2997.75
10/16/2019,2991.5
10/17/2019,2998
10/18/2019,2988.25
10/20/2019,2990.25
10/21/2019,3006.5
10/22/2019,2994.5
10/23/2019,3005.75
10/24/2019,3004.25
10/25/2019,3020.25
10/27/2019,3024.25
10/28/2019,3036.25
10/29/2019,3035.75
10/30/2019,3047.75
10/31/2019,3035.75
11/1/2019,3063.25
11/3/2019,3068.25
11/4/2019,3075.75
11/5/2019,3072
11/6/2019,3075.5
11/7/2019,3086
11/8/2019,3090.5
11/10/2019,3089.75
11/11/2019,3087.5
11/12/2019,3092
11/13/2019,3095.5
11/14/2019,3097
11/15/2019,3118.25
11/17/2019,3114
11/18/2019,3121.75
11/19/2019,3118.5
11/20/2019,3109
11/21/2019,3104
11/22/2019,3111.5
11/24/2019,3118.25
11/25/2019,3132.75
11/26/2019,3143.75
11/27/2019,3153.75
11/29/2019,null
12/1/2019,3146.75
12/2/2019,3114.25
12/3/2019,3091
12/4/2019,3111
12/5/2019,3117.75
12/6/2019,3146
12/8/2019,3146.75
12/9/2019,3134.5
12/10/2019,3136
12/11/2019,3143
12/12/2019,3168
12/13/2019,3172
12/15/2019,3176
12/16/2019,3194.25
12/17/2019,3192
12/18/2019,3194.75
12/19/2019,3207
12/20/2019,3231.02002
12/22/2019,3228
