Date,Amount
4/8/2019,12.57
4/9/2019,12.78
4/10/2019,12.81
4/11/2019,12.66
4/12/2019,12.77
4/14/2019,null
4/15/2019,12.66
4/16/2019,12.51
4/17/2019,12.35
4/18/2019,12.76
4/21/2019,null
4/22/2019,12.54
4/23/2019,12.7
4/24/2019,12.68
4/25/2019,12.36
4/26/2019,12.26
4/28/2019,null
4/29/2019,11.63
4/30/2019,11.99
5/1/2019,12.21
5/2/2019,12.23
5/3/2019,12.01
5/5/2019,null
5/6/2019,11.88
5/7/2019,11.95
5/8/2019,11.65
5/9/2019,11.78
5/10/2019,11.72
5/12/2019,null
5/13/2019,11.84
5/14/2019,11.94
5/15/2019,11.85
5/16/2019,11.78
5/17/2019,11.55
5/19/2019,null
5/20/2019,11.62
5/21/2019,11.81
5/22/2019,11.62
5/23/2019,11.57
5/24/2019,11.66
5/26/2019,null
5/28/2019,11.75
5/29/2019,11.87
5/30/2019,11.76
5/31/2019,12.1
6/2/2019,null
6/3/2019,12.19
6/4/2019,12.42
6/5/2019,12.21
6/6/2019,12.51
6/7/2019,12.5
6/9/2019,null
6/10/2019,12.4
6/11/2019,12.54
6/12/2019,12.62
6/13/2019,12.75
6/14/2019,12.75
6/16/2019,null
6/17/2019,12.66
6/18/2019,12.61
6/19/2019,12.5
6/20/2019,12.43
6/21/2019,12.22
6/23/2019,null
6/24/2019,12.27
6/25/2019,12.33
6/26/2019,12.03
6/27/2019,12.53
6/28/2019,12.32
6/30/2019,null
7/1/2019,12.57
7/2/2019,12.35
7/3/2019,null
7/5/2019,12.36
7/7/2019,null
7/8/2019,12.45
7/9/2019,12.35
7/10/2019,12.5
7/11/2019,12.38
7/12/2019,12.3
7/14/2019,null
7/15/2019,12.06
7/16/2019,11.99
7/17/2019,11.79
7/18/2019,11.55
7/19/2019,11.59
7/21/2019,null
7/22/2019,11.56
7/23/2019,11.98
7/24/2019,12.06
7/25/2019,12
7/26/2019,12.02
7/28/2019,null
7/29/2019,12.07
7/30/2019,12.15
7/31/2019,12.21
8/1/2019,12.12
8/2/2019,12.02
8/4/2019,null
8/5/2019,11.82
8/6/2019,11.73
8/7/2019,11.34
8/8/2019,11.43
8/9/2019,11.86
8/11/2019,null
8/12/2019,11.56
8/13/2019,11.72
8/14/2019,11.61
8/15/2019,11.63
8/16/2019,11.64
8/18/2019,null
8/19/2019,11.47
8/20/2019,11.44
8/21/2019,11.39
8/22/2019,11.58
8/23/2019,11.47
8/25/2019,null
