Date,Amount
4/8/2019,34.860001
4/9/2019,35.139999
4/10/2019,34.75
4/11/2019,34.580002
4/12/2019,34.369999
4/15/2019,34.709999
4/16/2019,34.459999
4/17/2019,34.48
4/18/2019,34.400002
4/22/2019,34.389999
4/23/2019,39.77
4/24/2019,39.290001
4/25/2019,38.48
4/26/2019,38.669998
4/29/2019,39.779999
4/30/2019,39.91
5/1/2019,39.290001
5/2/2019,39.950001
5/3/2019,40.799999
5/6/2019,40.23
5/7/2019,38.619999
5/8/2019,38.580002
5/9/2019,38.790001
5/10/2019,38.450001
5/13/2019,36.59
5/14/2019,36.93
5/15/2019,37.900002
5/16/2019,38.299999
5/17/2019,37.5
5/20/2019,37.150002
5/21/2019,37.470001
5/22/2019,38.580002
5/23/2019,37.189999
5/24/2019,37.41
5/28/2019,37.290001
5/29/2019,36.849998
5/30/2019,37.139999
5/31/2019,36.439999
6/3/2019,34.43
6/4/2019,36.099998
6/5/2019,36.330002
6/6/2019,36.59
6/7/2019,37.93
6/10/2019,37.639999
6/11/2019,37.209999
6/12/2019,37.490002
6/13/2019,36.34
6/14/2019,36.150002
6/17/2019,36.439999
6/18/2019,36.650002
6/19/2019,36.290001
6/20/2019,35.439999
6/21/2019,35.02
6/24/2019,35.580002
6/25/2019,34.720001
6/26/2019,35.220001
6/27/2019,34.75
6/28/2019,34.900002
7/1/2019,36.080002
7/2/2019,36.220001
7/3/2019,36.02
7/5/2019,36.25
7/8/2019,36.450001
7/9/2019,37.650002
7/10/2019,37.470001
7/11/2019,37.209999
7/12/2019,37.84
7/15/2019,38.68
7/16/2019,37.990002
7/17/2019,37.700001
7/18/2019,37.66
7/19/2019,36.77
7/22/2019,37.580002
7/23/2019,37.900002
7/24/2019,38.73
7/25/2019,38.119999
7/26/2019,41.52
7/29/2019,41.5
7/30/2019,41
7/31/2019,42.310001
8/1/2019,42.080002
8/2/2019,42.849998
8/5/2019,40.369999
8/6/2019,41.32
8/7/2019,41.73
8/8/2019,42.07
8/9/2019,41.529999
8/12/2019,40.48
8/13/2019,41.810001
8/14/2019,40.650002
8/15/2019,40.09
8/16/2019,40.580002
8/19/2019,41.700001
8/20/2019,42.290001
8/21/2019,42.799999
8/22/2019,42.18
8/23/2019,41
8/26/2019,41.439999
8/27/2019,42.139999
8/28/2019,41.68
8/29/2019,42.490002
8/30/2019,42.650002
9/3/2019,41.959999
9/4/2019,43.360001
9/5/2019,45.299999
9/6/2019,45.419998
9/9/2019,44.259998
9/10/2019,43.25
9/11/2019,43.25
9/12/2019,43.200001
9/13/2019,42.630001
9/16/2019,42.759998
9/17/2019,43.240002
9/18/2019,43.240002
9/19/2019,42.93
9/20/2019,43.23
9/23/2019,43.380001
9/24/2019,41.419998
9/25/2019,42.5
9/26/2019,42.439999
9/27/2019,41.349998
9/30/2019,41.200001
10/1/2019,40.25
10/2/2019,39.700001
10/3/2019,40
10/4/2019,40.360001
10/7/2019,40.799999
10/8/2019,39.700001
10/9/2019,39.5
10/10/2019,39.540001
10/11/2019,40.360001
10/14/2019,39.779999
10/15/2019,40.279999
10/16/2019,39.91
10/17/2019,39.610001
10/18/2019,38.990002
10/21/2019,40.09
10/22/2019,38.810001
10/23/2019,38.830002
10/24/2019,30.75
10/25/2019,30.299999
10/28/2019,30.059999
10/29/2019,29.85
10/30/2019,29.860001
10/31/2019,29.969999
11/1/2019,29.620001
11/4/2019,30.049999
11/5/2019,29.809999
11/6/2019,29.540001
11/7/2019,29.049999
11/8/2019,29.209999
11/11/2019,29.34
11/12/2019,29.049999
11/13/2019,29.08
11/14/2019,28.889999
11/15/2019,29.25
11/18/2019,29.49
11/19/2019,29.440001
11/20/2019,29.17
11/21/2019,29.790001
11/22/2019,30.030001
11/25/2019,30.540001
11/26/2019,30.959999
11/27/2019,31.17
11/29/2019,30.91
12/2/2019,30.42
12/3/2019,29.969999
12/4/2019,30
12/5/2019,30.040001
12/6/2019,30.190001
12/9/2019,30.209999
12/10/2019,29.84
12/11/2019,30.549999
12/12/2019,30.299999
12/13/2019,30.389999
12/16/2019,30.969999
12/17/2019,30.700001
12/18/2019,31.68
12/19/2019,32.029999
12/20/2019,32.130001
12/23/2019,32.43
12/24/2019,32.5
12/26/2019,32.630001
12/27/2019,32.549999
12/30/2019,32.029999
12/31/2019,32.049999
1/2/2020,32.299999
1/3/2020,31.52
1/6/2020,31.639999
1/7/2020,32.540001
1/8/2020,33.049999
1/9/2020,33.220001
1/10/2020,32.779999
1/13/2020,32.689999
1/14/2020,32.82
1/15/2020,33.23
1/16/2020,34.189999
1/17/2020,34.220001
1/21/2020,34.09
1/22/2020,34.02
1/23/2020,33.889999
1/24/2020,33.189999
1/27/2020,32.779999
1/28/2020,33.419998
1/29/2020,33.630001
1/30/2020,33.220001
1/31/2020,32.48
2/3/2020,33.07
2/4/2020,33.959999
2/5/2020,33.389999
2/6/2020,38.41
2/7/2020,37.029999
2/10/2020,35.959999
2/11/2020,35.650002
2/12/2020,36.790001
2/13/2020,37.16
2/14/2020,36.91
2/18/2020,38.060001
2/19/2020,38.77
2/20/2020,39.049999
2/21/2020,38.310001
2/24/2020,35.889999
2/25/2020,35.209999
2/26/2020,34.630001
2/27/2020,33.009998
2/28/2020,33.200001
3/2/2020,35.82
3/3/2020,34.93
3/4/2020,36
3/5/2020,34.970001
3/6/2020,33.459999
3/9/2020,32.459999
3/10/2020,34.310001
3/11/2020,31.299999
3/12/2020,26.780001
3/13/2020,29.290001
3/16/2020,24.040001
3/17/2020,24.48
3/18/2020,22
3/19/2020,24.129999
3/20/2020,23.950001
3/23/2020,24.690001
3/24/2020,25.85
3/25/2020,25.969999
3/26/2020,26.41
3/27/2020,25.290001
3/30/2020,25.59
3/31/2020,24.559999
4/1/2020,23.32
4/2/2020,23.02
4/3/2020,23.09
