Date,Amount
5/10/2019,41.57
5/13/2019,37.099998
5/14/2019,39.959999
5/15/2019,41.290001
5/16/2019,43
5/17/2019,41.91
5/20/2019,41.59
5/21/2019,41.5
5/22/2019,41.25
5/23/2019,40.470001
5/24/2019,41.509998
5/28/2019,40.950001
5/29/2019,39.939999
5/30/2019,39.799999
5/31/2019,40.41
6/3/2019,41.25
6/4/2019,42.75
6/5/2019,45
6/6/2019,44.919998
6/7/2019,44.16
6/10/2019,42.610001
6/11/2019,42.450001
6/12/2019,42.169998
6/13/2019,44.310001
6/14/2019,43.23
6/17/2019,43.779999
6/18/2019,43.860001
6/19/2019,44.860001
6/20/2019,43.860001
6/21/2019,44
6/24/2019,43.09
6/25/2019,43.09
6/26/2019,42.5
6/27/2019,45.130001
6/28/2019,46.380001
7/1/2019,44.27
7/2/2019,44
7/3/2019,44.23
7/5/2019,43.529999
7/8/2019,42.950001
7/9/2019,44.200001
7/10/2019,43.700001
7/11/2019,43.990002
7/12/2019,43.990002
7/15/2019,44.529999
7/16/2019,44.130001
7/17/2019,43.619999
7/18/2019,43.709999
7/19/2019,43.18
7/22/2019,43.689999
7/23/2019,43.360001
7/24/2019,43.759998
7/25/2019,43.400002
7/26/2019,44.52
7/29/2019,43.880001
7/30/2019,42.59
7/31/2019,42.139999
8/1/2019,41.310001
8/2/2019,40.400002
8/5/2019,39.049999
8/6/2019,39.150002
8/7/2019,39.700001
8/8/2019,42.970001
8/9/2019,40.049999
8/12/2019,37
8/13/2019,36.450001
8/14/2019,33.959999
8/15/2019,33.220001
8/16/2019,35.23
8/19/2019,34.610001
8/20/2019,35.290001
8/21/2019,34.91
8/22/2019,34
8/23/2019,33.43
8/26/2019,33.310001
8/27/2019,33.110001
8/28/2019,32.59
8/29/2019,32.759998
8/30/2019,32.57
9/3/2019,30.700001
9/4/2019,31.99
9/5/2019,32.509998
9/6/2019,31.860001
9/9/2019,32.240002
9/10/2019,33.509998
9/11/2019,34
9/12/2019,34.07
9/13/2019,33.25
9/16/2019,34.43
9/17/2019,34.290001
9/18/2019,34.259998
9/19/2019,33.82
9/20/2019,32.599998
9/23/2019,33
9/24/2019,31.299999
9/25/2019,31.68
9/26/2019,31.57
9/27/2019,30.290001
9/30/2019,30.469999
10/1/2019,29.15
10/2/2019,29
10/3/2019,29.719999
10/4/2019,29.67
10/7/2019,30.370001
10/8/2019,29.280001
10/9/2019,29.07
10/10/2019,28.870001
10/11/2019,30.129999
10/14/2019,31.120001
10/15/2019,32
10/16/2019,31.870001
10/17/2019,32.619999
10/18/2019,32.060001
10/21/2019,31.41
10/22/2019,32.529999
10/23/2019,33.049999
10/24/2019,33.279999
10/25/2019,32.709999
10/28/2019,33.220001
10/29/2019,32.419998
10/30/2019,33.75
10/31/2019,31.5
11/1/2019,31.370001
11/4/2019,31.08
11/5/2019,28.02
11/6/2019,26.940001
11/7/2019,27.379999
11/8/2019,27.01
11/11/2019,27.139999
11/12/2019,26.700001
11/13/2019,26.709999
11/14/2019,25.99
11/15/2019,26.790001
11/18/2019,26.75
11/19/2019,27.049999
11/20/2019,28.030001
11/21/2019,29.459999
11/22/2019,29.559999
11/25/2019,29.110001
11/26/2019,29.530001
11/27/2019,29.49
11/29/2019,29.6
12/2/2019,28.98
12/3/2019,29.02
12/4/2019,29.059999
12/5/2019,28.65
12/6/2019,27.860001
12/9/2019,27.68
12/10/2019,27.889999
12/11/2019,28.42
12/12/2019,28.690001
12/13/2019,28.49
12/16/2019,30.049999
12/17/2019,29.75
12/18/2019,30.129999
12/19/2019,29.99
12/20/2019,30.450001
12/23/2019,30.33
12/24/2019,30.440001
12/26/2019,30.67
12/27/2019,30.17
12/30/2019,29.74
12/31/2019,29.74
1/2/2020,30.99
1/3/2020,31.370001
1/6/2020,31.58
1/7/2020,32.810001
1/8/2020,33.93
1/9/2020,33.970001
1/10/2020,34.009998
1/13/2020,34.139999
1/14/2020,34.84
1/15/2020,35.009998
1/16/2020,34.68
1/17/2020,35.130001
1/21/2020,37.599998
1/22/2020,37.040001
1/23/2020,37.400002
1/24/2020,36.799999
1/27/2020,36.299999
1/28/2020,37.009998
1/29/2020,36.990002
1/30/2020,36.68
1/31/2020,36.290001
2/3/2020,37.59
2/4/2020,38.529999
2/5/2020,36.810001
2/6/2020,37.09
2/7/2020,40.630001
2/10/2020,40.009998
2/11/2020,41.27
2/12/2020,41.25
2/13/2020,40.09
2/14/2020,39.66
2/18/2020,40.18
2/19/2020,41.049999
2/20/2020,40.919998
2/21/2020,40.720001
2/24/2020,38.310001
2/25/2020,35.889999
2/26/2020,34.450001
2/27/2020,32.450001
2/28/2020,33.869999
3/2/2020,32.849998
3/3/2020,33.040001
3/4/2020,34.529999
3/5/2020,32.209999
3/6/2020,31.68
3/9/2020,28.17
3/10/2020,28.969999
3/11/2020,26.24
3/12/2020,22.610001
3/13/2020,22.6
3/16/2020,20.290001
3/17/2020,18.91
3/18/2020,14.82
3/19/2020,20.49
3/20/2020,21.33
3/23/2020,22.4
3/24/2020,26.389999
3/25/2020,26.190001
3/26/2020,28.120001
3/27/2020,27.280001
3/30/2020,27.83
3/31/2020,27.92
4/1/2020,25.42
4/2/2020,23.68
4/3/2020,22.82
4/6/2020,25.99
