Date,Amount
4/8/2019,88.82
4/9/2019,88
4/10/2019,89.440002
4/11/2019,89.5
4/12/2019,89.660004
4/15/2019,89.300003
4/16/2019,89.800003
4/17/2019,89.68
4/18/2019,89.360001
4/23/2019,88.300003
4/24/2019,89.900002
4/25/2019,88.699997
4/26/2019,89.32
4/29/2019,89.199997
4/30/2019,90.019997
5/2/2019,89.18
5/3/2019,88.379997
5/6/2019,87.540001
5/7/2019,86.620003
5/8/2019,86.639999
5/9/2019,85.220001
5/10/2019,85.839996
5/13/2019,85.080002
5/14/2019,87
5/15/2019,88.379997
5/16/2019,89.199997
5/17/2019,89.480003
5/20/2019,88.919998
5/21/2019,89.400002
5/22/2019,89.419998
5/23/2019,88.419998
5/24/2019,90.040001
5/27/2019,90.440002
5/28/2019,89.599998
5/29/2019,88.080002
5/30/2019,88.82
5/31/2019,88.459999
6/3/2019,88.940002
6/4/2019,89.239998
6/5/2019,89.32
6/6/2019,89.139999
6/7/2019,90.279999
6/10/2019,90.540001
6/11/2019,90.660004
6/12/2019,90.160004
6/13/2019,89.580002
6/14/2019,89.580002
6/17/2019,89.900002
6/18/2019,91.599998
6/19/2019,92.68
6/20/2019,92.68
6/21/2019,91.040001
6/24/2019,91.699997
6/25/2019,92.059998
6/26/2019,90.379997
6/27/2019,89.739998
6/28/2019,90.059998
7/1/2019,90.459999
7/2/2019,90.480003
7/3/2019,92.379997
7/4/2019,92.019997
7/5/2019,91.239998
7/8/2019,90.800003
7/9/2019,90.839996
7/10/2019,90.339996
7/11/2019,89.720001
7/12/2019,91.32
7/15/2019,91.800003
7/16/2019,94.300003
7/17/2019,93.519997
7/18/2019,93.139999
7/19/2019,93
7/22/2019,92.980003
7/23/2019,93.300003
7/24/2019,92.800003
7/25/2019,91.5
7/26/2019,91.959999
7/29/2019,92.199997
7/30/2019,90
7/31/2019,93.239998
8/1/2019,94.160004
8/2/2019,91.279999
8/5/2019,89.199997
8/6/2019,90
8/7/2019,91.400002
8/8/2019,93.879997
8/9/2019,94
8/12/2019,94
8/13/2019,94.959999
8/14/2019,92.919998
8/15/2019,93.480003
8/16/2019,95.480003
8/19/2019,97.459999
8/20/2019,97.220001
8/21/2019,98.519997
8/22/2019,97.120003
8/23/2019,95.540001
8/26/2019,96.800003
8/27/2019,97.82
8/28/2019,97.18
8/29/2019,98.419998
8/30/2019,99.5
9/2/2019,99.839996
9/3/2019,99.980003
9/4/2019,100.699997
9/5/2019,100.900002
9/6/2019,99.860001
9/9/2019,97.879997
9/10/2019,97.68
9/11/2019,97.559998
9/12/2019,98.919998
9/13/2019,98.279999
9/16/2019,97.080002
9/17/2019,98.120003
9/18/2019,98.5
9/19/2019,98.699997
9/20/2019,98.639999
9/23/2019,97.699997
9/24/2019,98.699997
9/25/2019,97.199997
9/26/2019,97.419998
9/27/2019,97.019997
9/30/2019,98.82
10/1/2019,97.720001
10/2/2019,94.760002
10/3/2019,95.400002
10/4/2019,96.959999
10/7/2019,97.32
10/8/2019,95.639999
10/9/2019,96.68
10/10/2019,97.120003
10/11/2019,100.199997
10/14/2019,99.160004
10/15/2019,98.839996
10/16/2019,98.800003
10/17/2019,97.220001
10/18/2019,96.540001
10/21/2019,97.160004
10/22/2019,96.800003
10/23/2019,96.68
10/24/2019,98.32
10/25/2019,100.650002
10/28/2019,99.260002
10/29/2019,100.400002
10/30/2019,99.779999
10/31/2019,100.599998
11/1/2019,101.75
11/4/2019,102.400002
11/5/2019,101.150002
11/6/2019,100.800003
11/7/2019,100.150002
11/8/2019,100.150002
11/11/2019,100.949997
11/12/2019,101.449997
11/13/2019,100.599998
11/14/2019,101.650002
11/15/2019,102.050003
11/18/2019,101.900002
11/19/2019,101.25
11/20/2019,100.5
11/21/2019,100.650002
11/22/2019,99.639999
11/25/2019,100
11/26/2019,100.150002
11/27/2019,99.739998
11/28/2019,98.900002
11/29/2019,98.980003
12/2/2019,96.839996
12/3/2019,96.720001
12/4/2019,98.099998
12/5/2019,97.160004
12/6/2019,98.239998
12/9/2019,97.940002
