Date,Amount
4/4/2019,62.099998
4/5/2019,63.080002
4/7/2019,null
4/8/2019,64.400002
4/9/2019,63.98
4/10/2019,64.610001
4/11/2019,63.580002
4/12/2019,63.889999
4/14/2019,null
4/15/2019,63.400002
4/16/2019,64.050003
4/17/2019,63.759998
4/18/2019,64
4/21/2019,null
4/22/2019,65.699997
4/23/2019,66.300003
4/24/2019,65.889999
4/25/2019,65.209999
4/26/2019,63.299999
4/28/2019,null
4/29/2019,63.5
4/30/2019,63.91
5/1/2019,63.599998
5/2/2019,61.810001
5/3/2019,61.939999
5/5/2019,null
5/6/2019,62.25
5/7/2019,61.400002
5/8/2019,62.119999
5/9/2019,61.700001
5/10/2019,61.66
5/12/2019,null
5/13/2019,61.040001
5/14/2019,61.779999
5/15/2019,62.02
5/16/2019,62.869999
5/17/2019,62.759998
5/19/2019,null
5/20/2019,63.099998
5/21/2019,62.990002
5/22/2019,61.419998
5/23/2019,57.91
5/24/2019,58.630001
5/26/2019,null
5/28/2019,59.139999
5/29/2019,58.810001
5/30/2019,56.59
5/31/2019,53.5
6/2/2019,null
6/3/2019,53.25
6/4/2019,53.48
6/5/2019,51.68
6/6/2019,52.59
6/7/2019,53.990002
6/9/2019,null
6/10/2019,53.259998
6/11/2019,53.27
6/12/2019,51.139999
6/13/2019,52.279999
6/14/2019,52.509998
6/16/2019,null
6/17/2019,51.93
6/18/2019,53.900002
6/19/2019,53.759998
6/20/2019,56.650002
6/21/2019,57.43
6/23/2019,null
6/24/2019,57.900002
6/25/2019,57.830002
6/26/2019,59.380001
6/27/2019,59.43
6/28/2019,58.470001
6/30/2019,null
7/1/2019,59.09
7/2/2019,56.25
7/3/2019,null
7/5/2019,57.509998
7/7/2019,null
7/8/2019,57.66
7/9/2019,57.830002
7/10/2019,60.43
7/11/2019,60.200001
7/12/2019,60.209999
7/14/2019,null
7/15/2019,59.580002
7/16/2019,57.619999
7/17/2019,56.779999
7/18/2019,55.299999
7/19/2019,55.630001
7/21/2019,null
7/22/2019,56.220001
7/23/2019,56.77
7/24/2019,55.880001
7/25/2019,56.02
7/26/2019,56.200001
7/28/2019,null
7/29/2019,56.869999
7/30/2019,58.049999
7/31/2019,58.580002
8/1/2019,53.950001
8/2/2019,55.66
8/4/2019,null
8/5/2019,54.689999
8/6/2019,53.630001
8/7/2019,51.09
8/8/2019,52.540001
8/9/2019,54.5
8/11/2019,null
8/12/2019,54.93
8/13/2019,57.099998
8/14/2019,55.23
8/15/2019,54.470001
8/16/2019,54.869999
8/18/2019,null
8/19/2019,56.209999
8/20/2019,56.34
8/21/2019,55.68
8/22/2019,55.349998
8/23/2019,54.169998
8/25/2019,null
8/26/2019,53.639999
8/27/2019,54.93
8/28/2019,55.779999
8/29/2019,56.709999
8/30/2019,55.099998
9/1/2019,null
9/3/2019,53.939999
9/4/2019,56.259998
9/5/2019,56.299999
9/6/2019,56.52
9/8/2019,null
9/9/2019,57.849998
9/10/2019,57.400002
9/11/2019,55.75
9/12/2019,55.09
9/13/2019,54.849998
9/15/2019,null
9/16/2019,62.900002
9/17/2019,59.34
9/18/2019,58.110001
9/19/2019,58.130001
9/20/2019,58.09
9/22/2019,null
9/23/2019,58.639999
9/24/2019,57.290001
9/25/2019,56.490002
9/26/2019,56.41
9/27/2019,55.91
9/29/2019,null
9/30/2019,54.07
10/1/2019,53.619999
10/2/2019,52.639999
10/3/2019,52.450001
10/4/2019,52.810001
10/6/2019,null
10/7/2019,52.75
10/8/2019,52.630001
10/9/2019,52.59
10/10/2019,53.549999
10/11/2019,54.700001
10/13/2019,null
10/14/2019,53.59
10/15/2019,52.810001
10/16/2019,53.360001
10/17/2019,53.93
10/18/2019,53.779999
10/20/2019,null
10/21/2019,53.310001
10/22/2019,54.16
10/23/2019,55.970001
10/24/2019,56.23
10/25/2019,56.66
10/27/2019,null
10/28/2019,55.810001
10/29/2019,55.540001
10/30/2019,55.060001
10/31/2019,54.18
11/1/2019,56.200001
11/3/2019,null
11/4/2019,56.540001
11/5/2019,57.23
11/6/2019,56.349998
11/7/2019,57.150002
11/8/2019,57.240002
11/10/2019,null
11/11/2019,56.860001
11/12/2019,56.799999
11/13/2019,57.119999
11/14/2019,56.77
11/15/2019,57.720001
11/17/2019,null
11/18/2019,57.049999
11/19/2019,55.209999
11/20/2019,57.110001
11/21/2019,58.580002
11/22/2019,57.77
11/24/2019,null
11/25/2019,58.009998
11/26/2019,58.41
11/27/2019,58.110001
11/29/2019,null
12/1/2019,null
12/2/2019,55.959999
12/3/2019,56.099998
12/4/2019,58.43
12/5/2019,58.43
12/6/2019,59.200001
12/8/2019,null
12/9/2019,59.02
12/10/2019,59.240002
12/11/2019,58.759998
12/12/2019,59.18
12/13/2019,60.07
12/15/2019,null
12/16/2019,60.209999
12/17/2019,60.939999
12/18/2019,60.93
12/19/2019,61.220001
12/20/2019,60.439999
12/22/2019,null
12/23/2019,60.52
12/24/2019,null
12/26/2019,61.68
12/27/2019,61.720001
12/29/2019,null
12/30/2019,61.68
12/31/2019,61.060001
1/2/2020,61.18
1/3/2020,63.049999
1/5/2020,null
1/6/2020,63.27
1/7/2020,62.700001
1/8/2020,59.610001
1/9/2020,59.560001
1/10/2020,59.040001
1/12/2020,null
1/13/2020,58.080002
1/14/2020,58.23
1/15/2020,57.810001
1/16/2020,58.52
1/17/2020,58.540001
1/19/2020,null
1/21/2020,58.34
1/22/2020,56.740002
1/23/2020,55.59
1/24/2020,54.189999
1/26/2020,null
1/27/2020,53.139999
1/28/2020,53.48
1/29/2020,53.330002
1/30/2020,52.139999
1/31/2020,51.560001
2/2/2020,null
2/3/2020,50.110001
2/4/2020,49.610001
2/5/2020,50.75
2/6/2020,50.950001
2/7/2020,50.32
2/9/2020,null
2/10/2020,49.57
2/11/2020,49.939999
2/12/2020,51.169998
2/13/2020,51.419998
2/14/2020,52.049999
2/16/2020,null
2/18/2020,52.049999
2/19/2020,53.290001
2/20/2020,53.779999
2/21/2020,53.380001
2/23/2020,null
2/24/2020,51.43
2/25/2020,49.900002
2/26/2020,48.73
2/27/2020,46.799999
2/28/2020,47.09
3/1/2020,44.450001
3/2/2020,44.759998
3/3/2020,46.75
3/4/2020,47.18
3/5/2020,46.779999
3/6/2020,45.900002
3/8/2020,32.5
3/9/2020,41.279999
3/10/2020,31.129999
3/11/2020,34.360001
3/12/2020,32.98
3/13/2020,32.93
3/15/2020,30.389999
3/16/2020,31.73
3/17/2020,28.700001
3/18/2020,27.33
3/19/2020,20.83
3/20/2020,25.91
3/22/2020,21.35
3/23/2020,24.49
3/24/2020,24.49
3/25/2020,24.190001
3/26/2020,23
3/27/2020,21.84
3/29/2020,20.35
3/30/2020,20.459999
3/31/2020,20.24
