Date,Amount
4/8/2019,99.230003
4/9/2019,98.690002
4/10/2019,99.599998
4/11/2019,100.800003
4/12/2019,101.559998
4/15/2019,102.43
4/16/2019,102.93
4/17/2019,103.160004
4/18/2019,103.18
4/22/2019,102.370003
4/23/2019,103.07
4/24/2019,103.529999
4/25/2019,103.519997
4/26/2019,101.529999
4/29/2019,101.559998
4/30/2019,102.839996
5/1/2019,101.360001
5/2/2019,101.150002
5/3/2019,102.080002
5/6/2019,102.459999
5/7/2019,101.300003
5/8/2019,100.300003
5/9/2019,99.540001
5/10/2019,101.910004
5/13/2019,99.889999
5/14/2019,100.290001
5/15/2019,99.879997
5/16/2019,101.309998
5/17/2019,100.860001
5/20/2019,101.519997
5/21/2019,101.120003
5/22/2019,102.230003
5/23/2019,101.860001
5/24/2019,102.669998
5/28/2019,102.419998
5/29/2019,102.120003
5/30/2019,102.190002
5/31/2019,101.440002
6/3/2019,101.959999
6/4/2019,102.559998
6/5/2019,104.419998
6/6/2019,105.110001
6/7/2019,106.059998
6/10/2019,107.519997
6/11/2019,107.940002
6/12/2019,108.82
6/13/2019,108.650002
6/14/2019,109.07
6/17/2019,109.160004
6/18/2019,109.650002
6/19/2019,109.620003
6/20/2019,110.32
6/21/2019,111.129997
6/24/2019,111.239998
6/25/2019,110.720001
6/26/2019,110.160004
6/27/2019,110.099998
6/28/2019,110.489998
7/1/2019,110.620003
7/2/2019,111.599998
7/3/2019,112.32
7/5/2019,111.980003
7/8/2019,112.720001
7/9/2019,112.879997
7/10/2019,112.980003
7/11/2019,113.919998
7/12/2019,114.599998
7/15/2019,114.980003
7/16/2019,114.760002
7/17/2019,114.599998
7/18/2019,114.720001
7/19/2019,113.900002
7/22/2019,112.82
7/23/2019,112.089996
7/24/2019,112
7/25/2019,112.220001
7/26/2019,113.019997
7/29/2019,112.269997
7/30/2019,112.059998
7/31/2019,110.379997
8/1/2019,109.379997
8/2/2019,109.400002
8/5/2019,105.82
8/6/2019,107.269997
8/7/2019,108.199997
8/8/2019,108.519997
8/9/2019,107.279999
8/12/2019,105.220001
8/13/2019,107.410004
8/14/2019,106.199997
8/15/2019,112.690002
8/16/2019,112.989998
8/19/2019,113.809998
8/20/2019,112.050003
8/21/2019,112.019997
8/22/2019,111.910004
8/23/2019,110.830002
8/26/2019,111.989998
8/27/2019,112.419998
8/28/2019,112.720001
8/29/2019,114.080002
8/30/2019,114.260002
9/3/2019,114.639999
9/4/2019,115.910004
9/5/2019,115.440002
9/6/2019,114.730003
9/9/2019,116.330002
9/10/2019,116.050003
9/11/2019,116.019997
9/12/2019,116.919998
9/13/2019,117.43
9/16/2019,115.57
9/17/2019,116.510002
9/18/2019,117.160004
9/19/2019,117.110001
9/20/2019,116.980003
9/23/2019,117.620003
9/24/2019,118.400002
9/25/2019,118.470001
9/26/2019,118.300003
9/27/2019,118.449997
9/30/2019,118.68
10/1/2019,117.849998
10/2/2019,116.120003
10/3/2019,116.309998
10/4/2019,118.160004
10/7/2019,117.230003
10/8/2019,117.580002
10/9/2019,118.93
10/10/2019,119.610001
10/11/2019,120.239998
10/14/2019,119.169998
10/15/2019,119.529999
10/16/2019,119.419998
10/17/2019,119.839996
10/18/2019,119.139999
10/21/2019,119.739998
10/22/2019,119.580002
10/23/2019,119.349998
10/24/2019,119.099998
10/25/2019,119.040001
10/28/2019,119.220001
10/29/2019,117.150002
10/30/2019,118.099998
10/31/2019,117.260002
11/1/2019,117.620003
11/4/2019,117.57
11/5/2019,118.860001
11/6/2019,119.5
11/7/2019,120.230003
11/8/2019,119.440002
11/11/2019,119.040001
11/12/2019,119.120003
11/13/2019,120.980003
11/14/2019,120.650002
11/15/2019,118.870003
11/18/2019,120.25
11/19/2019,119.889999
11/20/2019,119.129997
11/21/2019,119.860001
11/22/2019,119.360001
11/25/2019,118.919998
11/26/2019,119.190002
11/27/2019,118.760002
11/29/2019,119.089996
12/2/2019,119.279999
12/3/2019,118.669998
12/4/2019,118.690002
12/5/2019,118.660004
12/6/2019,119.779999
12/9/2019,119.360001
12/10/2019,119.139999
12/11/2019,119
12/12/2019,119.760002
12/13/2019,120.290001
12/16/2019,120.540001
12/17/2019,121.279999
12/18/2019,119.860001
12/19/2019,120.080002
