Date,Amount
4/8/2019,431.5
4/9/2019,427.5
4/10/2019,426.25
4/11/2019,430.5
4/12/2019,434.25
4/14/2019,null
4/15/2019,427.25
4/16/2019,417
4/17/2019,420.5
4/18/2019,420
4/21/2019,null
4/22/2019,411.75
4/23/2019,414.5
4/24/2019,404.5
4/25/2019,404.25
4/26/2019,399.75
4/28/2019,null
4/29/2019,389.75
4/30/2019,386.25
5/1/2019,389.25
5/2/2019,393
5/3/2019,393
5/5/2019,null
5/6/2019,394.25
5/7/2019,394.75
5/8/2019,394.25
5/9/2019,390
5/10/2019,379.25
5/12/2019,null
5/13/2019,397
5/14/2019,401.75
5/15/2019,402
5/16/2019,416.75
5/17/2019,420.25
5/19/2019,null
5/20/2019,434.5
5/21/2019,436
5/22/2019,432.25
5/23/2019,425.25
5/24/2019,442
5/26/2019,null
5/28/2019,460.75
5/29/2019,453.25
5/30/2019,479
5/31/2019,473
6/2/2019,null
6/3/2019,486.75
6/4/2019,468.5
6/5/2019,445.75
6/6/2019,455.25
6/7/2019,449
6/9/2019,null
6/10/2019,453
6/11/2019,457.5
6/12/2019,462.75
6/13/2019,468.25
6/14/2019,476.25
6/16/2019,null
6/17/2019,475.5
6/18/2019,465.25
6/19/2019,457.5
6/20/2019,460.5
6/21/2019,452.5
6/23/2019,null
6/24/2019,465.5
6/25/2019,465.25
6/26/2019,469
6/27/2019,468
6/28/2019,451.5
6/30/2019,null
7/1/2019,434.75
7/2/2019,424
7/3/2019,null
7/5/2019,439
7/7/2019,null
7/8/2019,442
7/9/2019,440.5
7/10/2019,441.25
7/11/2019,461.25
7/12/2019,461.25
7/14/2019,null
7/15/2019,449
7/16/2019,446.25
7/17/2019,441.75
7/18/2019,432.75
7/19/2019,440
7/21/2019,null
7/22/2019,429.25
7/23/2019,431.5
7/24/2019,439.5
7/25/2019,437.5
7/26/2019,432
7/28/2019,null
7/29/2019,436.5
7/30/2019,433.5
7/31/2019,422.75
8/1/2019,415.75
8/2/2019,421.75
8/4/2019,null
8/5/2019,426.75
8/6/2019,418
8/7/2019,417.75
8/8/2019,418.5
8/9/2019,417
8/11/2019,null
8/12/2019,392.25
8/13/2019,383.5
8/14/2019,384.75
8/15/2019,389.75
8/16/2019,394.25
8/18/2019,null
8/19/2019,391.25
8/20/2019,386.75
8/21/2019,386.25
8/22/2019,393.25
8/23/2019,391.5
8/25/2019,null
8/26/2019,389
8/27/2019,392.75
8/28/2019,392.25
8/29/2019,387.25
8/30/2019,378.25
9/1/2019,null
9/3/2019,362
9/4/2019,374
9/5/2019,382
9/6/2019,375.25
9/8/2019,null
9/9/2019,380
9/10/2019,382
9/11/2019,376.75
9/12/2019,380
9/13/2019,383.5
9/15/2019,null
9/16/2019,409
9/17/2019,402.25
9/18/2019,409.75
9/19/2019,409.5
9/20/2019,407.5
9/22/2019,null
9/23/2019,406.5
9/24/2019,405
9/25/2019,404
9/26/2019,408.25
9/27/2019,407.5
9/29/2019,null
9/30/2019,415
10/1/2019,411.5
10/2/2019,405.75
10/3/2019,405.75
10/4/2019,404
10/6/2019,null
10/7/2019,402.25
10/8/2019,410.25
10/9/2019,413.25
10/10/2019,403.25
10/11/2019,419.5
10/13/2019,null
10/14/2019,425.75
10/15/2019,421.25
10/16/2019,425
10/17/2019,431.25
10/18/2019,433.75
10/20/2019,null
10/21/2019,425.5
10/22/2019,421.25
10/23/2019,423.25
10/24/2019,419.5
10/25/2019,422.75
10/27/2019,null
10/28/2019,417
10/29/2019,419
10/30/2019,418.25
10/31/2019,419.75
11/1/2019,426
11/3/2019,null
11/4/2019,423
11/5/2019,428.5
11/6/2019,427.75
11/7/2019,424.75
11/8/2019,421.5
11/10/2019,null
11/11/2019,422.75
11/12/2019,438.75
11/13/2019,424.75
11/14/2019,422.25
11/15/2019,417
11/17/2019,null
11/18/2019,418.5
11/19/2019,425.75
11/20/2019,426
11/21/2019,421
11/22/2019,424
11/24/2019,null
11/25/2019,435.5
11/26/2019,432.5
11/27/2019,426.75
11/29/2019,null
12/1/2019,null
12/2/2019,437.25
12/3/2019,422.5
12/4/2019,425.25
12/5/2019,420.25
12/6/2019,415
12/8/2019,null
12/9/2019,411.5
12/10/2019,416
12/11/2019,415.5
12/12/2019,427.5
12/13/2019,427.5
12/15/2019,null
12/16/2019,462
12/17/2019,467
12/18/2019,462.25
12/19/2019,460.5
12/20/2019,462.25
12/22/2019,null
12/23/2019,458.5
12/24/2019,null
12/26/2019,470.5
12/27/2019,479.75
12/29/2019,null
12/30/2019,480.5
12/31/2019,486
1/2/2020,485.25
1/3/2020,475
1/5/2020,null
1/6/2020,477.25
1/7/2020,475
1/8/2020,480
1/9/2020,490.25
1/10/2020,494.75
1/12/2020,null
1/13/2020,492.75
1/14/2020,497
1/15/2020,496.5
1/16/2020,484.75
1/17/2020,494.25
1/19/2020,null
1/21/2020,500
1/22/2020,492.5
1/23/2020,492.25
1/24/2020,486
1/26/2020,null
1/27/2020,486.5
1/28/2020,482
1/29/2020,472
1/30/2020,471
1/31/2020,465.5
2/2/2020,null
2/3/2020,466.75
2/4/2020,467.25
2/5/2020,473.75
2/6/2020,467.75
2/7/2020,472.5
2/9/2020,null
2/10/2020,472.5
2/11/2020,468.25
2/12/2020,471
2/13/2020,466
2/14/2020,465.5
2/16/2020,null
2/18/2020,485.75
2/19/2020,479.75
2/20/2020,473.75
2/21/2020,468.5
2/23/2020,null
2/24/2020,452.25
2/25/2020,455
2/26/2020,452.25
2/27/2020,459.25
2/28/2020,451.75
3/1/2020,443.25
3/2/2020,453.25
3/3/2020,457.75
3/4/2020,458.25
3/5/2020,453.25
3/6/2020,446.25
3/8/2020,439.25
3/9/2020,446.25
3/10/2020,441
3/11/2020,444.75
3/12/2020,435.5
3/13/2020,432.75
3/15/2020,431.25
3/16/2020,431.5
3/17/2020,437
3/18/2020,432.25
3/19/2020,446.5
3/20/2020,465.5
3/22/2020,null
3/23/2020,488.5
3/24/2020,489.25
3/25/2020,499.25
3/26/2020,488.25
3/27/2020,484.5
3/29/2020,null
3/30/2020,486
3/31/2020,496.5
4/1/2020,471
4/2/2020,475
4/3/2020,478.75
4/5/2020,null
4/6/2020,479.75
