Date,Amount
4/8/2019,42.189999
4/9/2019,41.290001
4/10/2019,42.110001
4/11/2019,42.240002
4/12/2019,42.82
4/15/2019,42.560001
4/16/2019,43.130001
4/17/2019,42.880001
4/18/2019,42.740002
4/22/2019,42.889999
4/23/2019,43.560001
4/24/2019,43.040001
4/25/2019,42.450001
4/26/2019,42.990002
4/29/2019,43.330002
4/30/2019,43.560001
5/1/2019,44.48
5/2/2019,43.709999
5/3/2019,44.630001
5/6/2019,44.580002
5/7/2019,43.919998
5/8/2019,43.689999
5/9/2019,43.669998
5/10/2019,43.880001
5/13/2019,42.18
5/14/2019,43.099998
5/15/2019,43.560001
5/16/2019,44.279999
5/17/2019,44.5
5/20/2019,42.939999
5/21/2019,43.799999
5/22/2019,42.900002
5/23/2019,41.66
5/24/2019,41.790001
5/28/2019,41.25
5/29/2019,41.310001
5/30/2019,40.900002
5/31/2019,39.779999
6/3/2019,39.48
6/4/2019,41.110001
6/5/2019,41.080002
6/6/2019,41.009998
6/7/2019,41.779999
6/10/2019,42.549999
6/11/2019,43.529999
6/12/2019,42.919998
6/13/2019,42.869999
6/14/2019,42.830002
6/17/2019,42.740002
6/18/2019,42.889999
6/19/2019,43.189999
6/20/2019,43.349998
6/21/2019,42.919998
6/24/2019,42.57
6/25/2019,41.950001
6/26/2019,42.209999
6/27/2019,43.259998
6/28/2019,43.900002
7/1/2019,45.169998
7/2/2019,44.860001
7/3/2019,45.599998
7/5/2019,45.59
7/8/2019,45.139999
7/9/2019,45.049999
7/10/2019,45.169998
7/11/2019,45.919998
7/12/2019,46.419998
7/15/2019,46.490002
7/16/2019,47.09
7/17/2019,46.369999
7/18/2019,46.240002
7/19/2019,45.779999
7/22/2019,45.720001
7/23/2019,46.349998
7/24/2019,46.389999
7/25/2019,46.23
7/26/2019,46.959999
7/29/2019,47.259998
7/30/2019,49.07
7/31/2019,47.060001
8/1/2019,43.82
8/2/2019,42.380001
8/5/2019,40.349998
8/6/2019,40.029999
8/7/2019,39.290001
8/8/2019,40.830002
8/9/2019,40.27
8/12/2019,39.810001
8/13/2019,40.91
8/14/2019,39.040001
8/15/2019,38.540001
8/16/2019,39.709999
8/19/2019,40.549999
8/20/2019,42.59
8/21/2019,42.889999
8/22/2019,43.32
8/23/2019,42.32
8/26/2019,42.380001
8/27/2019,42.169998
8/28/2019,42.849998
8/29/2019,44.09
8/30/2019,44.34
9/3/2019,43.639999
9/4/2019,44
9/5/2019,45.110001
9/6/2019,45.43
9/9/2019,46.970001
