date,Amount
12/31/2019,27
1/1/2020,27
1/2/2020,27
1/3/2020,44
1/4/2020,44
1/5/2020,59
1/6/2020,59
1/7/2020,59
1/8/2020,59
1/9/2020,59
1/10/2020,59
1/11/2020,59
1/12/2020,59
1/13/2020,60
1/14/2020,60
1/15/2020,61
1/16/2020,61
1/17/2020,66
1/18/2020,83
1/19/2020,219
1/20/2020,239
1/21/2020,392
1/22/2020,534
1/23/2020,631
1/24/2020,897
1/25/2020,1350
1/26/2020,2023
1/27/2020,2820
1/28/2020,4587
1/29/2020,6067
1/30/2020,7823
1/31/2020,9826
2/1/2020,11946
2/2/2020,14554
2/3/2020,17372
2/4/2020,20615
2/5/2020,24522
2/6/2020,28273
2/7/2020,31491
2/8/2020,34933
2/9/2020,37552
2/10/2020,40540
2/11/2020,43105
2/12/2020,45177
2/13/2020,60328
2/14/2020,64543
2/15/2020,67103
2/16/2020,69265
2/17/2020,71332
2/18/2020,73327
2/19/2020,75191
2/20/2020,75723
2/21/2020,76719
2/22/2020,77804
2/23/2020,78812
2/24/2020,79339
2/25/2020,80132
2/26/2020,80995
2/27/2020,82101
2/28/2020,83365
2/29/2020,85203
3/1/2020,87024
3/2/2020,89068
3/3/2020,90664
3/4/2020,93077
3/5/2020,95316
3/6/2020,98172
3/7/2020,102133
3/8/2020,105824
3/9/2020,109695
3/10/2020,114232
3/11/2020,118610
3/12/2020,125497
3/13/2020,133852
3/14/2020,143227
3/15/2020,151367
3/16/2020,167418
3/17/2020,180096
3/18/2020,194836
3/19/2020,213150
3/20/2020,242364
3/21/2020,271106
3/22/2020,305117
3/23/2020,338133
3/24/2020,377918
3/25/2020,416845
3/26/2020,468049
3/27/2020,527767
3/28/2020,591704
3/29/2020,656866
3/30/2020,715353
3/31/2020,777796
4/1/2020,851308
4/2/2020,928436
4/3/2020,1000249
