Date,Close
11/20/2019,98.849998
11/21/2019,98.400002
11/22/2019,98.650002
11/24/2019,null
11/25/2019,99.349998
11/26/2019,100
11/27/2019,100
11/29/2019,null
12/1/2019,null
12/2/2019,96.300003
12/3/2019,96.699997
12/4/2019,95.900002
12/5/2019,95.650002
12/6/2019,95.300003
12/8/2019,null
12/9/2019,97.400002
12/10/2019,98.300003
12/11/2019,98.349998
12/12/2019,97.099998
12/13/2019,97.150002
12/15/2019,null
12/16/2019,98
12/17/2019,97.150002
12/18/2019,97.900002
12/19/2019,99.849998
12/20/2019,100.75
12/22/2019,null
12/23/2019,101
12/24/2019,null
12/26/2019,97.099998
12/27/2019,100.449997
12/29/2019,null
12/30/2019,100
12/31/2019,99.699997
1/2/2020,100.849998
1/3/2020,99.199997
1/5/2020,null
1/6/2020,99.099998
1/7/2020,99.75
1/8/2020,98.699997
1/9/2020,96.900002
1/10/2020,97.199997
1/12/2020,null
1/13/2020,95.550003
1/14/2020,null
1/15/2020,null
1/16/2020,null
1/17/2020,null
1/19/2020,null
1/21/2020,null
1/22/2020,null
1/23/2020,null
1/24/2020,null
1/26/2020,null
1/27/2020,null
1/28/2020,null
1/29/2020,null
1/30/2020,null
1/31/2020,null
2/2/2020,null
2/3/2020,null
2/4/2020,null
2/5/2020,null
2/6/2020,null
2/7/2020,null
2/9/2020,null
2/10/2020,null
2/11/2020,null
2/12/2020,null
2/13/2020,null
2/14/2020,null
2/16/2020,null
2/18/2020,null
2/19/2020,null
2/20/2020,null
2/21/2020,null
2/23/2020,null
2/24/2020,null
2/25/2020,null
2/26/2020,null
2/27/2020,null
2/28/2020,null
3/1/2020,null
3/2/2020,null
3/3/2020,null
3/4/2020,null
3/5/2020,null
3/6/2020,null
3/8/2020,null
3/9/2020,null
3/10/2020,null
3/11/2020,null
3/12/2020,null
3/13/2020,null
3/15/2020,null
3/16/2020,null
3/17/2020,null
3/18/2020,null
3/19/2020,null
3/20/2020,null
3/22/2020,null
3/23/2020,null
3/24/2020,null
3/25/2020,null
3/26/2020,null
3/27/2020,null
3/29/2020,null
3/30/2020,null
3/31/2020,null
4/1/2020,null
4/2/2020,null
4/3/2020,null
4/5/2020,null
